
[Name]
moving_wall

[Data]
Node Number, X [ m ], Y [ m ], Z [ m ], Approximated Mass Flow [ kg s^-1 ], Area [ m^2 ], Connectivity Number, Density [ kg m^-3 ], Domain Node Number [  ], Eddy Viscosity [ Pa s ], Edge Length Ratio, Element Volume Ratio, Force [ N ], Force X [ N ], Force Y [ N ], Force Z [ N ], Heat Flux [ W m^-2 ], Interpolated Mass Flow [ kg s^-1 ], Length [ m ], Mass Flow [ kg s^-1 ], Mass Flux [ kg s^-1 m^-2 ], Maximum Face Angle [ degree ], Minimum Face Angle [ degree ], Normal, Normal X, Normal Y, Normal Z, Pressure [ Pa ], Specific Dissipation Rate [ s^-1 ], Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity u.Gradient [ s^-1 ], Velocity u.Gradient X [ s^-1 ], Velocity u.Gradient Y [ s^-1 ], Velocity u.Gradient Z [ s^-1 ], Velocity u_Scalar [ m s^-1 ], Velocity v [ m s^-1 ], Velocity v.Gradient [ s^-1 ], Velocity v.Gradient X [ s^-1 ], Velocity v.Gradient Y [ s^-1 ], Velocity v.Gradient Z [ s^-1 ], Velocity v_Scalar [ m s^-1 ], Velocity w [ m s^-1 ], Velocity w.Gradient [ s^-1 ], Velocity w.Gradient X [ s^-1 ], Velocity w.Gradient Y [ s^-1 ], Velocity w.Gradient Z [ s^-1 ], Velocity.Absolute Helicity [ m s^-2 ], Velocity.Curl [ s^-1 ], Velocity.Curl X [ s^-1 ], Velocity.Curl Y [ s^-1 ], Velocity.Curl Z [ s^-1 ], Velocity.Divergence [ s^-1 ], Velocity.Helicity [ m s^-2 ], Velocity.Invariant Q [ s^-2 ], Velocity.Lambda 2 [ s^-2 ], Velocity.Normal Eigen Helicity [ s^-1 ], Velocity.Real Eigen Helicity [ s^-1 ], Velocity.Real Eigenvalue [ s^-1 ], Velocity.Stretched Swirling Strength, Velocity.Swirling Discriminant [ s^-6 ], Velocity.Swirling Normal [ s^-1 ], Velocity.Swirling Normal X [ s^-1 ], Velocity.Swirling Normal Y [ s^-1 ], Velocity.Swirling Normal Z [ s^-1 ], Velocity.Swirling Strength [ s^-1 ], Velocity.Swirling Vector [ s^-1 ], Velocity.Swirling Vector X [ s^-1 ], Velocity.Swirling Vector Y [ s^-1 ], Velocity.Swirling Vector Z [ s^-1 ], Volume [ m^3 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ], Wall Yplus, Wall Ystar, X [ m ], Y [ m ], Z [ m ]
0, 1.28097749e+00, 1.00000000e+00, 4.99999942e-03, null, 1.78571034e-04, 2.00000000e+00, 9.98200012e+02, 786, 2.29170227e+00, 3.57705283e+00, 1.00031614e+00, 6.23008385e-02, -1.82375684e-02, 5.95716834e-02, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.02516708e+01, 8.97483368e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 3.33602173e+02, 2.74820740e+02, 3.15506816e-01, 1.00000000e+01, 1.00000000e+01, 8.99051361e+01, -4.65473175e+00, 8.97845612e+01, -2.91681260e-07, 1.00000000e+01, 0.00000000e+00, 8.22492218e+00, -4.97970867e+00, 6.54613209e+00, -7.29203151e-08, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.29203180e-07, 9.47642670e+01, 7.29203151e-08, -2.91681260e-07, -9.47642670e+01, 1.89140034e+00, 7.29203180e-07, 4.16630463e+02, -3.33945313e+02, 9.47642670e+01, 9.47642670e+01, 2.99760217e-15, 2.03896084e+01, 2.67273600e+06, 2.03896084e+01, 0.00000000e+00, 0.00000000e+00, -2.03896084e+01, 2.03896084e+01, 2.03896084e+01, 2.26967529e-07, -5.44725474e-08, -2.03896084e+01, 0.00000000e+00, 1.02130608e+02, -1.02130608e+02, 0.00000000e+00, 0.00000000e+00, 5.68782568e+03, 5.48530420e+03, 1.28097749e+00, 1.00000000e+00, 4.99999942e-03
1, 1.28097749e+00, 1.00000000e+00, -4.99999942e-03, null, 1.78571034e-04, 2.00000000e+00, 9.98200012e+02, 1627, 2.29170227e+00, 3.57705283e+00, 1.00031614e+00, 6.23008385e-02, -1.82375684e-02, 5.95716834e-02, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.02516708e+01, 8.97483368e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 3.33602173e+02, 2.74820740e+02, 3.15506816e-01, 1.00000000e+01, 1.00000000e+01, 8.99051361e+01, -4.65473175e+00, 8.97845612e+01, -2.91681260e-07, 1.00000000e+01, 0.00000000e+00, 8.22492218e+00, -4.97970867e+00, 6.54613209e+00, -7.29203151e-08, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.29203180e-07, 9.47642670e+01, 7.29203151e-08, -2.91681260e-07, -9.47642670e+01, 1.89140034e+00, 7.29203180e-07, 4.16630463e+02, -3.33945313e+02, 9.47642670e+01, 9.47642670e+01, 2.99760217e-15, 2.03896084e+01, 2.67273600e+06, 2.03896084e+01, 0.00000000e+00, 0.00000000e+00, -2.03896084e+01, 2.03896084e+01, 2.03896084e+01, 2.26967529e-07, -5.44725474e-08, -2.03896084e+01, 0.00000000e+00, 1.02130608e+02, -1.02130608e+02, 0.00000000e+00, 0.00000000e+00, 5.68782568e+03, 5.48530420e+03, 1.28097749e+00, 1.00000000e+00, -4.99999942e-03
2, 1.24526322e+00, 1.00000000e+00, -4.99999942e-03, null, 1.78571616e-04, 2.00000000e+00, 9.98200012e+02, 1582, 2.25125432e+00, 3.57431579e+00, 1.00078332e+00, 2.98232678e-02, -1.73391830e-02, -2.42647883e-02, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.04135208e+01, 8.95864792e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, -1.35882675e+02, 2.70211456e+02, 3.04707348e-01, 1.00000000e+01, 1.00000000e+01, 8.83497391e+01, -4.56624651e+00, 8.82316589e+01, -2.89954102e-07, 1.00000000e+01, 0.00000000e+00, 4.50898457e+00, -2.63828087e+00, 3.65655804e+00, 7.35728065e-08, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.35728065e-07, 9.08699417e+01, -7.35728065e-08, -2.89954102e-07, -9.08699417e+01, -9.09688473e-01, -7.35728065e-07, 2.16083145e+02, -1.76558487e+02, 9.08699417e+01, 9.08699417e+01, -6.10622664e-16, 1.46927280e+01, 3.73321469e+05, 1.46927280e+01, 0.00000000e+00, 0.00000000e+00, -1.46927280e+01, 1.46927280e+01, 1.46927280e+01, -5.13482235e-07, -7.48586544e-08, -1.46927280e+01, 0.00000000e+00, 9.70993195e+01, -9.70993195e+01, 0.00000000e+00, 0.00000000e+00, 5.54441846e+03, 5.38853369e+03, 1.24526322e+00, 1.00000000e+00, -4.99999942e-03
3, 1.24526322e+00, 1.00000000e+00, 4.99999942e-03, null, 1.78571616e-04, 2.00000000e+00, 9.98200012e+02, 741, 2.25125432e+00, 3.57431579e+00, 1.00078332e+00, 2.98232678e-02, -1.73391830e-02, -2.42647883e-02, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.04135208e+01, 8.95864792e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, -1.35882675e+02, 2.70211456e+02, 3.04707348e-01, 1.00000000e+01, 1.00000000e+01, 8.83497391e+01, -4.56624651e+00, 8.82316589e+01, -2.89954102e-07, 1.00000000e+01, 0.00000000e+00, 4.50898457e+00, -2.63828087e+00, 3.65655804e+00, 7.35728065e-08, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.35728065e-07, 9.08699417e+01, -7.35728065e-08, -2.89954102e-07, -9.08699417e+01, -9.09688473e-01, -7.35728065e-07, 2.16083145e+02, -1.76558487e+02, 9.08699417e+01, 9.08699417e+01, -6.10622664e-16, 1.46927280e+01, 3.73321469e+05, 1.46927280e+01, 0.00000000e+00, 0.00000000e+00, -1.46927280e+01, 1.46927280e+01, 1.46927280e+01, -5.13482235e-07, -7.48586544e-08, -1.46927280e+01, 0.00000000e+00, 9.70993195e+01, -9.70993195e+01, 0.00000000e+00, 0.00000000e+00, 5.54441846e+03, 5.38853369e+03, 1.24526322e+00, 1.00000000e+00, 4.99999942e-03
4, 1.20954895e+00, 1.00000000e+00, 4.99999942e-03, null, 1.78570728e-04, 2.00000000e+00, 9.98200012e+02, 787, 2.22861314e+00, 3.57160759e+00, 1.00024402e+00, 8.63741487e-02, -1.69603508e-02, -8.46926197e-02, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.05756302e+01, 8.94243698e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, -4.74280518e+02, 2.68026276e+02, 2.99199432e-01, 1.00000000e+01, 1.00000000e+01, 8.70350418e+01, -2.37731719e+00, 8.70025635e+01, 2.92467604e-07, 1.00000000e+01, 0.00000000e+00, 2.41466212e+00, -1.18000579e+00, 2.10669875e+00, 1.44804574e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.44804574e-06, 8.81825714e+01, -1.44804574e-07, 2.92467604e-07, -8.81825714e+01, -2.70618439e-01, -1.44804574e-06, 9.76552353e+01, -8.59901962e+01, 8.81825714e+01, 8.81825714e+01, 0.00000000e+00, 9.88113976e+00, 3.44858906e+04, 9.88113976e+00, 0.00000000e+00, 0.00000000e+00, -9.88113976e+00, 9.88113976e+00, 9.88113976e+00, -1.21240885e-06, 8.77328835e-11, -9.88113976e+00, 0.00000000e+00, 9.49783325e+01, -9.49783325e+01, 0.00000000e+00, 0.00000000e+00, 5.47818213e+03, 5.33449707e+03, 1.20954895e+00, 1.00000000e+00, 4.99999942e-03
5, 1.20954895e+00, 1.00000000e+00, -4.99999942e-03, null, 1.78570728e-04, 2.00000000e+00, 9.98200012e+02, 1628, 2.22861314e+00, 3.57160759e+00, 1.00024402e+00, 8.63741487e-02, -1.69603508e-02, -8.46926197e-02, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.05756302e+01, 8.94243698e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, -4.74280518e+02, 2.68026276e+02, 2.99199432e-01, 1.00000000e+01, 1.00000000e+01, 8.70350418e+01, -2.37731719e+00, 8.70025635e+01, 2.92467604e-07, 1.00000000e+01, 0.00000000e+00, 2.41466212e+00, -1.18000579e+00, 2.10669875e+00, 1.44804574e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.44804574e-06, 8.81825714e+01, -1.44804574e-07, 2.92467604e-07, -8.81825714e+01, -2.70618439e-01, -1.44804574e-06, 9.76552353e+01, -8.59901962e+01, 8.81825714e+01, 8.81825714e+01, 0.00000000e+00, 9.88113976e+00, 3.44858906e+04, 9.88113976e+00, 0.00000000e+00, 0.00000000e+00, -9.88113976e+00, 9.88113976e+00, 9.88113976e+00, -1.21240885e-06, 8.77328835e-11, -9.88113976e+00, 0.00000000e+00, 9.49783325e+01, -9.49783325e+01, 0.00000000e+00, 0.00000000e+00, 5.47818213e+03, 5.33449707e+03, 1.20954895e+00, 1.00000000e+00, -4.99999942e-03
6, 1.17383468e+00, 1.00000000e+00, -4.99999942e-03, null, 1.78571921e-04, 2.00000000e+00, 9.98200012e+02, 1581, 2.21149325e+00, 3.57142735e+00, 1.00252128e+00, 1.23992778e-01, -1.67010762e-02, -1.22862868e-01, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.05770798e+01, 8.94229202e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, -6.88030151e+02, 2.66958771e+02, 2.95718372e-01, 1.00000000e+01, 1.00000000e+01, 8.61523895e+01, -1.62312257e+00, 8.61371002e+01, 2.89394308e-07, 1.00000000e+01, 0.00000000e+00, 1.47633529e+00, -5.78508377e-01, 1.35826874e+00, -3.65853019e-08, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.65853026e-07, 8.67156067e+01, 3.65853019e-08, 2.89394308e-07, -8.67156067e+01, -2.64853835e-01, 3.65853026e-07, 4.76264000e+01, -3.62541847e+01, 8.67156067e+01, 8.67156067e+01, 0.00000000e+00, 6.89991760e+00, 3.99962695e+03, 6.89991760e+00, 0.00000000e+00, 0.00000000e+00, -6.89991760e+00, 6.89991760e+00, 6.89991760e+00, 5.13502073e-07, 3.28577805e-08, -6.89991760e+00, 0.00000000e+00, 9.35257645e+01, -9.35257645e+01, 0.00000000e+00, 0.00000000e+00, 5.42614600e+03, 5.29364795e+03, 1.17383468e+00, 1.00000000e+00, -4.99999942e-03
7, 1.17383468e+00, 1.00000000e+00, 4.99999942e-03, null, 1.78571921e-04, 2.00000000e+00, 9.98200012e+02, 740, 2.21149325e+00, 3.57142735e+00, 1.00252128e+00, 1.23992778e-01, -1.67010762e-02, -1.22862868e-01, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.05770798e+01, 8.94229202e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, -6.88030151e+02, 2.66958771e+02, 2.95718372e-01, 1.00000000e+01, 1.00000000e+01, 8.61523895e+01, -1.62312257e+00, 8.61371002e+01, 2.89394308e-07, 1.00000000e+01, 0.00000000e+00, 1.47633529e+00, -5.78508377e-01, 1.35826874e+00, -3.65853019e-08, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.65853026e-07, 8.67156067e+01, 3.65853019e-08, 2.89394308e-07, -8.67156067e+01, -2.64853835e-01, 3.65853026e-07, 4.76264000e+01, -3.62541847e+01, 8.67156067e+01, 8.67156067e+01, 0.00000000e+00, 6.89991760e+00, 3.99962695e+03, 6.89991760e+00, 0.00000000e+00, 0.00000000e+00, -6.89991760e+00, 6.89991760e+00, 6.89991760e+00, 5.13502073e-07, 3.28577805e-08, -6.89991760e+00, 0.00000000e+00, 9.35257645e+01, -9.35257645e+01, 0.00000000e+00, 0.00000000e+00, 5.42614600e+03, 5.29364795e+03, 1.17383468e+00, 1.00000000e+00, 4.99999942e-03
8, 1.31669176e+00, 1.00000000e+00, 4.99999942e-03, null, 1.78571921e-04, 2.00000000e+00, 9.98200012e+02, 742, 2.12476087e+00, 3.57423139e+00, 1.00078177e+00, 1.86908558e-01, -1.75155159e-02, 1.86086044e-01, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.01259308e+01, 8.98740692e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.04207898e+03, 2.58728210e+02, 2.81056345e-01, 1.00000000e+01, 1.00000000e+01, 8.63363419e+01, -1.00388031e+01, 8.57507248e+01, 0.00000000e+00, 1.00000000e+01, 0.00000000e+00, 9.23708725e+00, -2.37521219e+00, 8.92648602e+00, -2.90802745e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.90802745e-06, 8.81259384e+01, 2.90802745e-07, 0.00000000e+00, -8.81259384e+01, -1.11231709e+00, 2.90802745e-06, 1.14064926e+02, -6.58917999e+01, 8.81259384e+01, 8.81259384e+01, -1.77635684e-15, 1.06656275e+01, 5.48167617e+04, 1.06656275e+01, 0.00000000e+00, 0.00000000e+00, -1.06656275e+01, 1.06656275e+01, 1.06656275e+01, 2.33168885e-06, 2.72969885e-07, -1.06656275e+01, 0.00000000e+00, 9.80866165e+01, -9.80866165e+01, 0.00000000e+00, 0.00000000e+00, 5.56871387e+03, 5.16342139e+03, 1.31669176e+00, 1.00000000e+00, 4.99999942e-03
9, 1.31669176e+00, 1.00000000e+00, -4.99999942e-03, null, 1.78571921e-04, 2.00000000e+00, 9.98200012e+02, 1583, 2.12476087e+00, 3.57423139e+00, 1.00078177e+00, 1.86908558e-01, -1.75155159e-02, 1.86086044e-01, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.01259308e+01, 8.98740692e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.04207898e+03, 2.58728210e+02, 2.81056345e-01, 1.00000000e+01, 1.00000000e+01, 8.63363419e+01, -1.00388031e+01, 8.57507248e+01, 0.00000000e+00, 1.00000000e+01, 0.00000000e+00, 9.23708725e+00, -2.37521219e+00, 8.92648602e+00, -2.90802745e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.90802745e-06, 8.81259384e+01, 2.90802745e-07, 0.00000000e+00, -8.81259384e+01, -1.11231709e+00, 2.90802745e-06, 1.14064926e+02, -6.58917999e+01, 8.81259384e+01, 8.81259384e+01, -1.77635684e-15, 1.06656275e+01, 5.48167617e+04, 1.06656275e+01, 0.00000000e+00, 0.00000000e+00, -1.06656275e+01, 1.06656275e+01, 1.06656275e+01, 2.33168885e-06, 2.72969885e-07, -1.06656275e+01, 0.00000000e+00, 9.80866165e+01, -9.80866165e+01, 0.00000000e+00, 0.00000000e+00, 5.56871387e+03, 5.16342139e+03, 1.31669176e+00, 1.00000000e+00, -4.99999942e-03
