
[Name]
surface_body

[Data]
Node Number, X [ m ], Y [ m ], Z [ m ], Approximated Mass Flow [ kg s^-1 ], Connectivity Number, Density [ kg m^-3 ], Domain Node Number [  ], Eddy Viscosity [ Pa s ], Edge Length Ratio, Element Volume Ratio, Force [ N ], Force X [ N ], Force Y [ N ], Force Z [ N ], Heat Flux [ W m^-2 ], Interpolated Mass Flow [ kg s^-1 ], Length [ m ], Mass Flow [ kg s^-1 ], Mass Flux [ kg s^-1 m^-2 ], Maximum Face Angle [ degree ], Minimum Face Angle [ degree ], Pressure [ Pa ], Specific Dissipation Rate [ s^-1 ], Streamline Number on Streamline 1, Time on Streamline 1 [ s ], Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity u.Gradient [ s^-1 ], Velocity u.Gradient X [ s^-1 ], Velocity u.Gradient Y [ s^-1 ], Velocity u.Gradient Z [ s^-1 ], Velocity u_Scalar [ m s^-1 ], Velocity v [ m s^-1 ], Velocity v.Gradient [ s^-1 ], Velocity v.Gradient X [ s^-1 ], Velocity v.Gradient Y [ s^-1 ], Velocity v.Gradient Z [ s^-1 ], Velocity v_Scalar [ m s^-1 ], Velocity w [ m s^-1 ], Velocity w.Gradient [ s^-1 ], Velocity w.Gradient X [ s^-1 ], Velocity w.Gradient Y [ s^-1 ], Velocity w.Gradient Z [ s^-1 ], Velocity.Absolute Helicity [ m s^-2 ], Velocity.Curl [ s^-1 ], Velocity.Curl X [ s^-1 ], Velocity.Curl Y [ s^-1 ], Velocity.Curl Z [ s^-1 ], Velocity.Divergence [ s^-1 ], Velocity.Helicity [ m s^-2 ], Velocity.Invariant Q [ s^-2 ], Velocity.Lambda 2 [ s^-2 ], Velocity.Normal Eigen Helicity [ s^-1 ], Velocity.Real Eigen Helicity [ s^-1 ], Velocity.Real Eigenvalue [ s^-1 ], Velocity.Stretched Swirling Strength, Velocity.Swirling Discriminant [ s^-6 ], Velocity.Swirling Normal [ s^-1 ], Velocity.Swirling Normal X [ s^-1 ], Velocity.Swirling Normal Y [ s^-1 ], Velocity.Swirling Normal Z [ s^-1 ], Velocity.Swirling Strength [ s^-1 ], Velocity.Swirling Vector [ s^-1 ], Velocity.Swirling Vector X [ s^-1 ], Velocity.Swirling Vector Y [ s^-1 ], Velocity.Swirling Vector Z [ s^-1 ], Volume [ m^3 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ], Wall Yplus, Wall Ystar, X [ m ], Y [ m ], Z [ m ]
0, 1.18326199e+00, 1.78961724e-01, 4.99999942e-03, null, 3.00000000e+00, 9.98200012e+02, 1, 3.68676138e+00, 1.52677751e+00, 1.11533368e+00, null, null, null, null, null, null, null, null, null, 1.25674591e+02, 9.00000000e+01, 4.44659890e-05, 1.17688799e+00, null, null, 4.34626732e-03, 6.43970270e-06, -4.66352503e-06, 1.88691320e-05, 1.82293570e-05, -4.87182297e-06, 9.10155198e-14, -4.66024903e-06, -4.44086800e-06, 1.86061316e-05, -3.12923225e-06, -1.83411030e-05, -9.50417316e-14, -4.43901126e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.47417379e-19, 1.74259071e-06, 9.50417316e-14, 9.10155198e-14, 1.74259071e-06, -1.11745976e-07, -8.47417379e-19, -3.49591578e-10, 3.47506190e-10, 0.00000000e+00, 0.00000000e+00, -3.77185665e-06, 0.00000000e+00, -1.58242454e-30, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.33455552e-07, null, null, null, null, null, null, 1.18326199e+00, 1.78961724e-01, 4.99999942e-03
1, 8.84397566e-01, 2.81254113e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200012e+02, 2, 6.72366333e+00, 2.81048703e+00, 1.07953548e+00, null, null, null, null, null, null, null, null, null, 1.16595825e+02, 6.19148331e+01, 1.68759507e-05, 8.79720747e-01, null, null, 5.92496246e-03, 8.06231947e-06, -8.01629540e-06, 2.08987217e-06, 2.06809295e-06, 3.00927411e-07, 1.15802948e-14, -8.01575061e-06, -8.60234934e-07, 2.28511853e-05, -2.27472065e-05, -2.17744400e-06, 2.13613483e-13, -8.66870721e-07, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.70242704e-18, 2.30481346e-05, -2.13613483e-13, 1.15802948e-14, -2.30481346e-05, -1.09351049e-07, 1.70242704e-18, 2.34210134e-12, -1.08710090e-12, 2.30481346e-05, 2.30481346e-05, 4.56603698e-22, 1.52941550e-06, 4.75224254e-37, 1.52941550e-06, 0.00000000e+00, 0.00000000e+00, -1.52941550e-06, 1.52941550e-06, 1.52941550e-06, -5.84428204e-14, 4.60497363e-13, -1.52941550e-06, 2.11748488e-06, null, null, null, null, null, null, 8.84397566e-01, 2.81254113e-01, 4.99999942e-03
2, 3.87144089e-01, 5.34062266e-01, 4.99999942e-03, null, 3.00000000e+00, 9.98200012e+02, 3, 1.12667370e+00, 1.35925579e+00, 1.10717142e+00, null, null, null, null, null, null, null, null, null, 1.20248772e+02, 9.00000000e+01, -1.46019287e-04, 2.18240547e+00, null, null, 2.45141238e-03, 1.66461923e-05, -1.43564876e-06, 3.84338127e-05, -3.83082406e-05, -3.10427959e-06, -1.87802885e-13, -1.43349644e-06, 1.65841684e-05, 4.81217903e-05, -3.06098955e-05, 3.71314018e-05, -3.97731647e-15, 1.65910587e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.12026465e-18, 2.75056154e-05, 3.97731647e-15, -1.87802885e-13, -2.75056154e-05, -1.17683885e-06, -3.12026465e-18, -1.51746038e-09, 1.46953150e-09, 0.00000000e+00, 0.00000000e+00, -1.37465568e-05, 0.00000000e+00, -1.29445627e-28, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.49556933e-07, null, null, null, null, null, null, 3.87144089e-01, 5.34062266e-01, 4.99999942e-03
3, 5.96207142e-01, 7.18014836e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98199951e+02, 4, 4.93040800e+00, 1.71480286e+00, 1.33086157e+00, null, null, null, null, null, null, null, null, null, 1.01700317e+02, 7.79435654e+01, -3.79894336e-04, 8.56314957e-01, null, null, 4.22894023e-03, 1.03897000e-05, -3.22260962e-06, 2.80407130e-05, 3.07283904e-06, 2.78718362e-05, 1.18793635e-14, -3.21365542e-06, 9.87727981e-06, 4.90344901e-05, -4.89613449e-05, -2.67729206e-06, 1.79540437e-13, 9.91157049e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.95924524e-19, 7.68331811e-05, -1.79540437e-13, 1.18793635e-14, -7.68331811e-05, 3.95546977e-07, 6.95924524e-19, 1.35641576e-09, -1.35201428e-09, 7.68331811e-05, 7.68331811e-05, -3.38813179e-21, 3.68290166e-05, 9.24276952e-29, 3.68290166e-05, 0.00000000e+00, 0.00000000e+00, -3.68290166e-05, 3.68290166e-05, 3.68290166e-05, -1.36734049e-13, 3.07718159e-14, -3.68290166e-05, 1.25183510e-06, null, null, null, null, null, null, 5.96207142e-01, 7.18014836e-01, 4.99999942e-03
4, 1.17206919e+00, 1.92881405e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98199951e+02, 5, 3.95953727e+00, 1.26493764e+00, 1.46984899e+00, null, null, null, null, null, null, null, null, null, 1.04414322e+02, 8.11378632e+01, 4.86609752e-05, 1.14540517e+00, null, null, 4.54251235e-03, 6.79315599e-06, -4.94881306e-06, 1.93148280e-05, 1.86666693e-05, -4.96165922e-06, -8.79494638e-14, -4.93291964e-06, -4.65362427e-06, 1.93005617e-05, -4.44984425e-06, -1.87805908e-05, -6.26894031e-14, -4.64791628e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.90456243e-20, 5.11814960e-07, 6.26894031e-14, -8.79494638e-14, 5.11814960e-07, -1.13921487e-07, 9.90456243e-20, -3.72649689e-10, 3.70456832e-10, 0.00000000e+00, 0.00000000e+00, -3.87754608e-06, 0.00000000e+00, -1.91664786e-30, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.48684568e-07, null, null, null, null, null, null, 1.17206919e+00, 1.92881405e-01, 4.99999942e-03
5, 9.67663407e-01, 3.54250193e-01, 4.99999942e-03, null, 3.00000000e+00, 9.98199951e+02, 6, 7.41728115e+00, 1.47660339e+00, 1.56433702e+00, null, null, null, null, null, null, null, null, null, 1.26665970e+02, 9.00000000e+01, 6.25633111e-05, 8.68816257e-01, null, null, 6.45571621e-03, 8.26998439e-06, -7.65530513e-06, 5.54987946e-06, 5.51441508e-06, 6.26408848e-07, 0.00000000e+00, -7.64967626e-06, -3.12872976e-06, 2.43962186e-05, -2.39846995e-05, -4.46202694e-06, -1.52958375e-13, -3.15199145e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.17094302e-18, 2.46111085e-05, 1.52958375e-13, 0.00000000e+00, -2.46111085e-05, 1.05238814e-06, -1.17094302e-18, -9.58124032e-12, 1.29246971e-26, 0.00000000e+00, 0.00000000e+00, 2.74880313e-06, 0.00000000e+00, -3.35176746e-35, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.79442428e-07, null, null, null, null, null, null, 9.67663407e-01, 3.54250193e-01, 4.99999942e-03
6, 7.48176932e-01, 3.50960463e-01, 4.99999942e-03, null, 3.00000000e+00, 9.98200073e+02, 7, 6.99683666e+00, 1.42843521e+00, 1.04616427e+00, null, null, null, null, null, null, null, null, null, 1.26394150e+02, 9.00000000e+01, -4.21013538e-05, 8.01359296e-01, null, null, 5.61698945e-03, 8.23095706e-06, -7.78577396e-06, 4.70038503e-06, -4.66495840e-06, 5.76005846e-07, -2.10714235e-14, -7.78548292e-06, 2.67027713e-06, 2.63915881e-05, -2.60572979e-05, 4.18726268e-06, 1.68571388e-13, 2.67202790e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.25619215e-18, 2.66333045e-05, -1.68571388e-13, -2.10714235e-14, -2.66333045e-05, -4.77695721e-07, 1.25619215e-18, -4.52425077e-12, 9.89547120e-26, 0.00000000e+00, 0.00000000e+00, -1.58755279e-06, 0.00000000e+00, -3.47310618e-36, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.24686322e-07, null, null, null, null, null, null, 7.48176932e-01, 3.50960463e-01, 4.99999942e-03
7, 9.10243988e-01, 5.56245863e-01, 4.99999942e-03, null, 5.00000000e+00, 9.98199951e+02, 8, 7.61298513e+00, 3.07527637e+00, 1.18979025e+00, null, null, null, null, null, null, null, null, null, 9.00000000e+01, 6.73328552e+01, 8.45194154e-05, 7.68185616e-01, null, null, 5.85874123e-03, 7.15966235e-06, -6.82585960e-06, 1.32687055e-05, 1.06340883e-06, 1.32260247e-05, 0.00000000e+00, -6.83087910e-06, -2.16064927e-06, 3.50314112e-05, -3.50233167e-05, -7.53034158e-07, -6.96542867e-13, -2.18960895e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.75450388e-18, 4.82493415e-05, 6.96542867e-13, 0.00000000e+00, -4.82493415e-05, 3.10374674e-07, -4.75450388e-18, 4.62418465e-10, -4.58975913e-10, 4.82493415e-05, 4.82493415e-05, -5.69100261e-22, 2.15033579e-05, 3.66200683e-30, 2.15033579e-05, 0.00000000e+00, 0.00000000e+00, -2.15033579e-05, 2.15033579e-05, 2.15033579e-05, 4.28398826e-13, -3.44444457e-14, -2.15033579e-05, 4.11570818e-06, null, null, null, null, null, null, 9.10243988e-01, 5.56245863e-01, 4.99999942e-03
8, 1.00565386e+00, 4.07631367e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98199951e+02, 9, 7.55865288e+00, 1.45956981e+00, 1.15345502e+00, null, null, null, null, null, null, null, null, null, 9.61668625e+01, 8.54538116e+01, 1.14897193e-04, 8.75760436e-01, null, null, 6.63124584e-03, 8.61359786e-06, -7.33509660e-06, 7.51155858e-06, 7.35608728e-06, 1.52035898e-06, 0.00000000e+00, -7.33289289e-06, -4.51557662e-06, 2.79234555e-05, -2.69845423e-05, -7.18010415e-06, 0.00000000e+00, -4.52352515e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.85049009e-05, 0.00000000e+00, 0.00000000e+00, -2.85049009e-05, 1.75983132e-07, 0.00000000e+00, -1.17912832e-11, 9.22675911e-12, 0.00000000e+00, 0.00000000e+00, 1.46279342e-06, 0.00000000e+00, -6.07581232e-35, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.25268614e-07, null, null, null, null, null, null, 1.00565386e+00, 4.07631367e-01, 4.99999942e-03
9, 5.68052411e-01, 1.78891182e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200073e+02, 10, 3.70350695e+00, 1.70515478e+00, 1.10069752e+00, null, null, null, null, null, null, null, null, null, 1.00196709e+02, 8.19978943e+01, -1.62235356e-05, 9.61466193e-01, null, null, 3.56593681e-03, 7.11050006e-06, -5.68117866e-06, 1.74447960e-05, -1.70097210e-05, -3.87173168e-06, 6.54009317e-14, -5.67750067e-06, 4.27591158e-06, 1.90704650e-05, -8.60270666e-06, 1.70198728e-05, 5.50123979e-14, 4.27403347e-06, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.92183874e-19, 4.73097498e-06, -5.50123979e-14, 6.54009317e-14, -4.73097498e-06, 1.01517799e-08, 5.92183874e-19, -3.22810667e-10, 3.22626731e-10, 0.00000000e+00, 0.00000000e+00, 1.63822779e-06, 0.00000000e+00, -1.24589048e-30, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.21631967e-06, null, null, null, null, null, null, 5.68052411e-01, 1.78891182e-01, 4.99999942e-03
