
[Name]
surface_body

[Data]
Node Number, X [ m ], Y [ m ], Z [ m ], Approximated Mass Flow [ kg s^-1 ], Connectivity Number, Density [ kg m^-3 ], Domain Node Number [  ], Eddy Viscosity [ Pa s ], Edge Length Ratio, Element Volume Ratio, Force [ N ], Force X [ N ], Force Y [ N ], Force Z [ N ], Heat Flux [ W m^-2 ], Interpolated Mass Flow [ kg s^-1 ], Length [ m ], Mass Flow [ kg s^-1 ], Mass Flux [ kg s^-1 m^-2 ], Maximum Face Angle [ degree ], Minimum Face Angle [ degree ], Pressure [ Pa ], Specific Dissipation Rate [ s^-1 ], Streamline Number on Streamline 1, Time on Streamline 1 [ s ], Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity u.Gradient [ s^-1 ], Velocity u.Gradient X [ s^-1 ], Velocity u.Gradient Y [ s^-1 ], Velocity u.Gradient Z [ s^-1 ], Velocity u_Scalar [ m s^-1 ], Velocity v [ m s^-1 ], Velocity v.Gradient [ s^-1 ], Velocity v.Gradient X [ s^-1 ], Velocity v.Gradient Y [ s^-1 ], Velocity v.Gradient Z [ s^-1 ], Velocity v_Scalar [ m s^-1 ], Velocity w [ m s^-1 ], Velocity w.Gradient [ s^-1 ], Velocity w.Gradient X [ s^-1 ], Velocity w.Gradient Y [ s^-1 ], Velocity w.Gradient Z [ s^-1 ], Velocity.Absolute Helicity [ m s^-2 ], Velocity.Curl [ s^-1 ], Velocity.Curl X [ s^-1 ], Velocity.Curl Y [ s^-1 ], Velocity.Curl Z [ s^-1 ], Velocity.Divergence [ s^-1 ], Velocity.Helicity [ m s^-2 ], Velocity.Invariant Q [ s^-2 ], Velocity.Lambda 2 [ s^-2 ], Velocity.Normal Eigen Helicity [ s^-1 ], Velocity.Real Eigen Helicity [ s^-1 ], Velocity.Real Eigenvalue [ s^-1 ], Velocity.Stretched Swirling Strength, Velocity.Swirling Discriminant [ s^-6 ], Velocity.Swirling Normal [ s^-1 ], Velocity.Swirling Normal X [ s^-1 ], Velocity.Swirling Normal Y [ s^-1 ], Velocity.Swirling Normal Z [ s^-1 ], Velocity.Swirling Strength [ s^-1 ], Velocity.Swirling Vector [ s^-1 ], Velocity.Swirling Vector X [ s^-1 ], Velocity.Swirling Vector Y [ s^-1 ], Velocity.Swirling Vector Z [ s^-1 ], Volume [ m^3 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ], Wall Yplus, Wall Ystar, X [ m ], Y [ m ], Z [ m ]
0, 8.51582348e-01, 4.99354273e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200012e+02, 1, 1.24078245e+01, 3.63192534e+00, 1.00746739e+00, null, null, null, null, null, null, null, null, null, 9.04208527e+01, 8.94172134e+01, -1.68539404e+03, 3.15496016e+00, null, null, 3.92168052e-02, 2.83480827e-02, -1.23095326e-03, 2.44418836e+00, -3.21072377e-02, 2.44397759e+00, 0.00000000e+00, -1.25184178e-03, 2.83213444e-02, 2.45294571e+00, -2.45254397e+00, 4.43969890e-02, 0.00000000e+00, 2.84633264e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.89652157e+00, 0.00000000e+00, 0.00000000e+00, -4.89652157e+00, 1.22897513e-02, 0.00000000e+00, 5.99253702e+00, -5.99198866e+00, 4.89652157e+00, 4.89652157e+00, 7.37257477e-17, 2.44795823e+00, 7.97013521e+00, 2.44795823e+00, 0.00000000e+00, 0.00000000e+00, -2.44795823e+00, 2.44795823e+00, 2.44795823e+00, 0.00000000e+00, 0.00000000e+00, -2.44795823e+00, 6.55091662e-06, null, null, null, null, null, null, 8.51582348e-01, 4.99354273e-01, 4.99999942e-03
1, 8.52561474e-01, 5.71986139e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200012e+02, 2, 1.21371317e+01, 3.63192225e+00, 1.01089573e+00, null, null, null, null, null, null, null, null, null, 9.03513870e+01, 8.96182556e+01, -1.66999866e+03, 3.30235863e+00, null, null, 4.01446298e-02, 1.79972276e-01, 1.77577719e-01, 2.50904584e+00, -4.36914675e-02, 2.50866532e+00, -3.64512296e-08, 1.77707985e-01, 2.92604938e-02, 2.39634013e+00, -2.39594507e+00, 4.35141474e-02, -1.82424067e-08, 2.93756239e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.17286411e-09, 4.90461063e+00, 1.82424067e-08, -3.64512296e-08, -4.90461063e+00, -1.77320093e-04, 2.17286411e-09, 6.00872326e+00, -6.00871038e+00, 4.90461063e+00, 4.90461063e+00, -7.40171271e-17, 2.45126963e+00, 8.03494358e+00, 2.45126963e+00, 0.00000000e+00, 0.00000000e+00, -2.45126963e+00, 2.45126963e+00, 2.45126963e+00, 1.80224760e-08, -3.53033798e-08, -2.45126963e+00, 6.54583982e-06, null, null, null, null, null, null, 8.52561474e-01, 5.71986139e-01, 4.99999942e-03
2, 9.24116433e-01, 4.99114364e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200073e+02, 3, 1.22527819e+01, 3.62762594e+00, 1.01107395e+00, null, null, null, null, null, null, null, null, null, 9.06659012e+01, 8.93013077e+01, -1.67460852e+03, 3.25157046e+00, null, null, 3.99076156e-02, 1.51480824e-01, -4.70015034e-03, 2.37802792e+00, -3.70922722e-02, 2.37773871e+00, 0.00000000e+00, -4.55677556e-03, -1.51407883e-01, 2.52833629e+00, -2.52802873e+00, 3.94302979e-02, -1.82076949e-08, -1.51504129e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.55789051e-11, 4.90576744e+00, 1.82076949e-08, 0.00000000e+00, -4.90576744e+00, 2.33802572e-03, -8.55789051e-11, 6.00952911e+00, -6.00932932e+00, 4.90576744e+00, 4.90576744e+00, 0.00000000e+00, 2.45143390e+00, 8.03817558e+00, 2.45143390e+00, 0.00000000e+00, 0.00000000e+00, -2.45143390e+00, 2.45143390e+00, 2.45143390e+00, 1.76603301e-08, 2.75497819e-10, -2.45143390e+00, 6.54136147e-06, null, null, null, null, null, null, 9.24116433e-01, 4.99114364e-01, 4.99999942e-03
3, 8.51336122e-01, 4.26857829e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200012e+02, 4, 1.23166580e+01, 3.62484193e+00, 1.00832427e+00, null, null, null, null, null, null, null, null, null, 9.07050323e+01, 8.94904633e+01, -1.66934814e+03, 3.32251525e+00, null, null, 4.09902707e-02, 1.81962788e-01, -1.79949924e-01, 2.50627136e+00, -2.38833427e-02, 2.50615764e+00, -1.79433446e-08, -1.80055425e-01, 2.69903522e-02, 2.39306450e+00, -2.39295840e+00, 2.25381348e-02, 1.81624866e-08, 2.70662922e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.78404078e-09, 4.89911604e+00, -1.81624866e-08, -1.79433446e-08, -4.89911604e+00, -1.34520791e-03, 2.78404078e-09, 5.99659252e+00, -5.99650955e+00, 4.89911604e+00, 4.89911604e+00, -1.48047807e-16, 2.44879413e+00, 7.98637772e+00, 2.44879413e+00, 0.00000000e+00, 0.00000000e+00, -2.44879413e+00, 2.44879413e+00, 2.44879413e+00, -1.87530933e-08, -1.77113542e-08, -2.44879413e+00, 6.52867129e-06, null, null, null, null, null, null, 8.51336122e-01, 4.26857829e-01, 4.99999942e-03
4, 7.79620647e-01, 5.00127375e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200073e+02, 5, 1.22243433e+01, 3.61934805e+00, 1.00515139e+00, null, null, null, null, null, null, null, null, null, 9.01255569e+01, 8.97098160e+01, -1.66490149e+03, 3.38291335e+00, null, null, 4.14189287e-02, 2.06596792e-01, 3.26503348e-03, 2.39951611e+00, -4.07609716e-02, 2.39916992e+00, -3.07005289e-11, 3.22617218e-03, 2.06570983e-01, 2.50639296e+00, -2.50606108e+00, 4.07810360e-02, 3.63219250e-08, 2.06493512e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.24934146e-10, 4.90523100e+00, -3.63219250e-08, -3.07005289e-11, -4.90523100e+00, 2.00644135e-05, -1.24934146e-10, 6.01080418e+00, -6.01080275e+00, 4.90523100e+00, 4.90523100e+00, -1.48030019e-16, 2.45169401e+00, 8.04329395e+00, 2.45169401e+00, 0.00000000e+00, 0.00000000e+00, -2.45169401e+00, 2.45169401e+00, 2.45169401e+00, -3.55442857e-08, -6.35256348e-10, -2.45169401e+00, 6.53022244e-06, null, null, null, null, null, null, 7.79620647e-01, 5.00127375e-01, 4.99999942e-03
5, 7.80316353e-01, 5.72478712e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98199951e+02, 6, 1.19408226e+01, 3.63876200e+00, 1.01063120e+00, null, null, null, null, null, null, null, null, null, 9.01602783e+01, 8.97206955e+01, -1.64877283e+03, 3.54036307e+00, null, null, 4.23317775e-02, 2.71011800e-01, 1.78258434e-01, 2.46266484e+00, 6.40875623e-02, 2.46183085e+00, 0.00000000e+00, 1.78395450e-01, 2.04135567e-01, 2.44996357e+00, -2.44909525e+00, -6.52241409e-02, 1.82282562e-08, 2.04031289e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.24934035e-09, 4.91092587e+00, -1.82282562e-08, 0.00000000e+00, -4.91092587e+00, -1.13657862e-03, -3.24934035e-09, 6.02507830e+00, -6.02500391e+00, 4.91092587e+00, 4.91092587e+00, 1.48047807e-16, 2.45460343e+00, 8.10073185e+00, 2.45460343e+00, 0.00000000e+00, 0.00000000e+00, -2.45460343e+00, 2.45460343e+00, 2.45460343e+00, -1.82819271e-08, 4.75923911e-10, -2.45460343e+00, 6.53406323e-06, null, null, null, null, null, null, 7.80316353e-01, 5.72478712e-01, 4.99999942e-03
6, 9.24885452e-01, 5.71286976e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200073e+02, 7, 1.20056334e+01, 3.62246370e+00, 1.00314450e+00, null, null, null, null, null, null, null, null, null, 9.01857529e+01, 8.96610641e+01, -1.65858618e+03, 3.39401841e+00, null, null, 4.08084504e-02, 2.23181441e-01, 1.68669939e-01, 2.44421673e+00, -1.62728488e-01, 2.43879366e+00, 0.00000000e+00, 1.68704927e-01, -1.46151990e-01, 2.47790575e+00, -2.47266650e+00, 1.61051750e-01, 1.82164204e-08, -1.46179914e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.07256243e-09, 4.91145992e+00, -1.82164204e-08, 0.00000000e+00, -4.91145992e+00, -1.67673826e-03, -3.07256243e-09, 6.00411558e+00, -6.00384140e+00, 4.91145992e+00, 4.91145992e+00, 0.00000000e+00, 2.45032954e+00, 8.01647282e+00, 2.45032954e+00, 0.00000000e+00, 0.00000000e+00, -2.45032954e+00, 2.45032954e+00, 2.45032954e+00, -1.81306561e-08, -1.20976806e-09, -2.45032954e+00, 6.52299605e-06, null, null, null, null, null, null, 9.24885452e-01, 5.71286976e-01, 4.99999942e-03
7, 9.23669577e-01, 4.26563203e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200012e+02, 8, 1.21667061e+01, 3.62762880e+00, 1.00714576e+00, null, null, null, null, null, null, null, null, null, 9.05903931e+01, 8.93962784e+01, -1.65791248e+03, 3.42848969e+00, null, null, 4.17778827e-02, 2.31786415e-01, -1.78122625e-01, 2.43872452e+00, 9.40698087e-02, 2.43690968e+00, 3.61537786e-08, -1.78271189e-01, -1.48314789e-01, 2.46595454e+00, -2.46407461e+00, -9.62714702e-02, 1.03490376e-10, -1.48310691e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.34370592e-09, 4.90098429e+00, -1.03490376e-10, 3.61537786e-08, -4.90098429e+00, -2.20166147e-03, -5.34370592e-09, 5.99567127e+00, -5.99545717e+00, 4.90098429e+00, 4.90098429e+00, -7.40510084e-17, 2.44860578e+00, 7.98269510e+00, 2.44860578e+00, 0.00000000e+00, 0.00000000e+00, -2.44860578e+00, 2.44860578e+00, 2.44860578e+00, -1.52444857e-09, 3.63861474e-08, -2.44860578e+00, 6.53965935e-06, null, null, null, null, null, null, 9.23669577e-01, 4.26563203e-01, 4.99999942e-03
8, 7.79209614e-01, 4.27744180e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200073e+02, 9, 1.21351357e+01, 3.63222003e+00, 1.00544739e+00, null, null, null, null, null, null, null, null, null, 9.05255203e+01, 8.91786194e+01, -1.64834961e+03, 3.55665779e+00, null, null, 4.32227179e-02, 2.64356822e-01, -1.72063977e-01, 2.45980167e+00, -1.43948629e-01, 2.45558596e+00, 0.00000000e+00, -1.72039196e-01, 2.00695083e-01, 2.45270610e+00, -2.44850683e+00, 1.43461406e-01, 0.00000000e+00, 2.00798020e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.90409279e+00, 0.00000000e+00, 0.00000000e+00, -4.90409279e+00, -4.87223268e-04, 0.00000000e+00, 5.99186802e+00, -5.99179792e+00, 4.90409279e+00, 4.90409279e+00, 0.00000000e+00, 2.44782925e+00, 7.96751547e+00, 2.44782925e+00, 0.00000000e+00, 0.00000000e+00, -2.44782925e+00, 2.44782925e+00, 2.44782925e+00, 0.00000000e+00, 0.00000000e+00, -2.44782925e+00, 6.51406071e-06, null, null, null, null, null, null, 7.79209614e-01, 4.27744180e-01, 4.99999942e-03
9, 7.07968056e-01, 5.72698712e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200012e+02, 10, 1.13662939e+01, 3.60957909e+00, 1.00833106e+00, null, null, null, null, null, null, null, null, null, 9.08472900e+01, 8.92167740e+01, -1.59686548e+03, 4.18318224e+00, null, null, 4.75810170e-02, 4.23224419e-01, 1.70392096e-01, 2.30891895e+00, 1.72386527e-01, 2.30247474e+00, 0.00000000e+00, 1.70387357e-01, 3.87408614e-01, 2.64116526e+00, -2.63568115e+00, -1.70115829e-01, 3.62677035e-08, 3.87540728e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.17973006e-09, 4.93815613e+00, -3.62677035e-08, 0.00000000e+00, -4.93815613e+00, 2.27069855e-03, -6.17973006e-09, 6.03926373e+00, -6.03871870e+00, 4.93815613e+00, 4.93815613e+00, 1.47993597e-16, 2.45749116e+00, 8.15808296e+00, 2.45749116e+00, 0.00000000e+00, 0.00000000e+00, -2.45749116e+00, 2.45749116e+00, 2.45749116e+00, -3.39799655e-08, 2.54408339e-09, -2.45749116e+00, 6.48341893e-06, null, null, null, null, null, null, 7.07968056e-01, 5.72698712e-01, 4.99999942e-03
