
[Name]
moving_wall

[Data]
Node Number, X [ m ], Y [ m ], Z [ m ], Approximated Mass Flow [ kg s^-1 ], Area [ m^2 ], Connectivity Number, Density [ kg m^-3 ], Domain Node Number [  ], Eddy Viscosity [ Pa s ], Edge Length Ratio, Element Volume Ratio, Force [ N ], Force X [ N ], Force Y [ N ], Force Z [ N ], Heat Flux [ W m^-2 ], Interpolated Mass Flow [ kg s^-1 ], Length [ m ], Mass Flow [ kg s^-1 ], Mass Flux [ kg s^-1 m^-2 ], Maximum Face Angle [ degree ], Minimum Face Angle [ degree ], Normal, Normal X, Normal Y, Normal Z, Pressure [ Pa ], Specific Dissipation Rate [ s^-1 ], Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity u.Gradient [ s^-1 ], Velocity u.Gradient X [ s^-1 ], Velocity u.Gradient Y [ s^-1 ], Velocity u.Gradient Z [ s^-1 ], Velocity u_Scalar [ m s^-1 ], Velocity v [ m s^-1 ], Velocity v.Gradient [ s^-1 ], Velocity v.Gradient X [ s^-1 ], Velocity v.Gradient Y [ s^-1 ], Velocity v.Gradient Z [ s^-1 ], Velocity v_Scalar [ m s^-1 ], Velocity w [ m s^-1 ], Velocity w.Gradient [ s^-1 ], Velocity w.Gradient X [ s^-1 ], Velocity w.Gradient Y [ s^-1 ], Velocity w.Gradient Z [ s^-1 ], Velocity.Absolute Helicity [ m s^-2 ], Velocity.Curl [ s^-1 ], Velocity.Curl X [ s^-1 ], Velocity.Curl Y [ s^-1 ], Velocity.Curl Z [ s^-1 ], Velocity.Divergence [ s^-1 ], Velocity.Helicity [ m s^-2 ], Velocity.Invariant Q [ s^-2 ], Velocity.Lambda 2 [ s^-2 ], Velocity.Normal Eigen Helicity [ s^-1 ], Velocity.Real Eigen Helicity [ s^-1 ], Velocity.Real Eigenvalue [ s^-1 ], Velocity.Stretched Swirling Strength, Velocity.Swirling Discriminant [ s^-6 ], Velocity.Swirling Normal [ s^-1 ], Velocity.Swirling Normal X [ s^-1 ], Velocity.Swirling Normal Y [ s^-1 ], Velocity.Swirling Normal Z [ s^-1 ], Velocity.Swirling Strength [ s^-1 ], Velocity.Swirling Vector [ s^-1 ], Velocity.Swirling Vector X [ s^-1 ], Velocity.Swirling Vector Y [ s^-1 ], Velocity.Swirling Vector Z [ s^-1 ], Volume [ m^3 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ], Wall Yplus, Wall Ystar, X [ m ], Y [ m ], Z [ m ]
0, 1.28097749e+00, 1.00000000e+00, 4.99999942e-03, null, 1.78571034e-04, 2.00000000e+00, 9.98200012e+02, 786, 1.20232213e+00, 3.57705283e+00, 1.00031614e+00, 1.81162953e-02, -5.06168464e-03, 1.73948128e-02, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.02516708e+01, 8.97483368e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 9.74111710e+01, 1.44793427e+02, 8.72072950e-02, 5.00000000e+00, 5.00000000e+00, 4.48746223e+01, -2.44244361e+00, 4.48081017e+01, 1.02088450e-06, 5.00000000e+00, 0.00000000e+00, 4.32630205e+00, -2.62282085e+00, 3.44059587e+00, -3.64601576e-08, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.82300795e-07, 4.74309235e+01, 3.64601576e-08, 1.02088450e-06, -4.74309235e+01, 9.98152256e-01, 1.82300795e-07, 1.09120163e+02, -8.73646011e+01, 4.74309235e+01, 4.74309235e+01, 8.88178420e-16, 1.04341307e+01, 4.80129961e+04, 1.04341307e+01, 0.00000000e+00, 0.00000000e+00, -1.04341307e+01, 1.04341307e+01, 1.04341307e+01, 4.92078811e-07, 2.64548532e-07, -1.04341307e+01, 0.00000000e+00, 2.83454971e+01, -2.83454971e+01, 0.00000000e+00, 0.00000000e+00, 2.99640869e+03, 2.88965723e+03, 1.28097749e+00, 1.00000000e+00, 4.99999942e-03
1, 1.28097749e+00, 1.00000000e+00, -4.99999942e-03, null, 1.78571034e-04, 2.00000000e+00, 9.98200012e+02, 1627, 1.20232213e+00, 3.57705283e+00, 1.00031614e+00, 1.81162953e-02, -5.06168464e-03, 1.73948128e-02, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.02516708e+01, 8.97483368e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 9.74111710e+01, 1.44793427e+02, 8.72072950e-02, 5.00000000e+00, 5.00000000e+00, 4.48746223e+01, -2.44244361e+00, 4.48081017e+01, 1.02088450e-06, 5.00000000e+00, 0.00000000e+00, 4.32630205e+00, -2.62282085e+00, 3.44059587e+00, -3.64601576e-08, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.82300795e-07, 4.74309235e+01, 3.64601576e-08, 1.02088450e-06, -4.74309235e+01, 9.98152256e-01, 1.82300795e-07, 1.09120163e+02, -8.73646011e+01, 4.74309235e+01, 4.74309235e+01, 8.88178420e-16, 1.04341307e+01, 4.80129961e+04, 1.04341307e+01, 0.00000000e+00, 0.00000000e+00, -1.04341307e+01, 1.04341307e+01, 1.04341307e+01, 4.92078811e-07, 2.64548532e-07, -1.04341307e+01, 0.00000000e+00, 2.83454971e+01, -2.83454971e+01, 0.00000000e+00, 0.00000000e+00, 2.99640869e+03, 2.88965723e+03, 1.28097749e+00, 1.00000000e+00, -4.99999942e-03
2, 1.24526322e+00, 1.00000000e+00, -4.99999942e-03, null, 1.78571616e-04, 2.00000000e+00, 9.98200012e+02, 1582, 1.18014145e+00, 3.57431579e+00, 1.00078332e+00, 7.50990119e-03, -4.79918718e-03, -5.77636762e-03, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.04135208e+01, 8.95864792e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, -3.23476257e+01, 1.42249969e+02, 8.40850994e-02, 5.00000000e+00, 5.00000000e+00, 4.40582085e+01, -2.39576340e+00, 4.39930229e+01, -1.53651314e-07, 5.00000000e+00, 0.00000000e+00, 2.36797810e+00, -1.38881290e+00, 1.91794670e+00, -3.62442627e-08, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.81221310e-07, 4.53818359e+01, 3.62442627e-08, -1.53651314e-07, -4.53818359e+01, -4.77816701e-01, 1.81221310e-07, 5.65031281e+01, -4.61584358e+01, 4.53818359e+01, 4.53818359e+01, -5.82867088e-16, 7.51305866e+00, 6.67444043e+03, 7.51305866e+00, 0.00000000e+00, 0.00000000e+00, -7.51305866e+00, 7.51305866e+00, 7.51305866e+00, 1.72830624e-07, -1.68283520e-08, -7.51305866e+00, 0.00000000e+00, 2.68754196e+01, -2.68754196e+01, 0.00000000e+00, 0.00000000e+00, 2.91692334e+03, 2.83638525e+03, 1.24526322e+00, 1.00000000e+00, -4.99999942e-03
3, 1.24526322e+00, 1.00000000e+00, 4.99999942e-03, null, 1.78571616e-04, 2.00000000e+00, 9.98200012e+02, 741, 1.18014145e+00, 3.57431579e+00, 1.00078332e+00, 7.50990119e-03, -4.79918718e-03, -5.77636762e-03, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.04135208e+01, 8.95864792e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, -3.23476257e+01, 1.42249969e+02, 8.40850994e-02, 5.00000000e+00, 5.00000000e+00, 4.40582085e+01, -2.39576340e+00, 4.39930229e+01, -1.53651314e-07, 5.00000000e+00, 0.00000000e+00, 2.36797810e+00, -1.38881290e+00, 1.91794670e+00, -3.62442627e-08, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.81221310e-07, 4.53818359e+01, 3.62442627e-08, -1.53651314e-07, -4.53818359e+01, -4.77816701e-01, 1.81221310e-07, 5.65031281e+01, -4.61584358e+01, 4.53818359e+01, 4.53818359e+01, -5.82867088e-16, 7.51305866e+00, 6.67444043e+03, 7.51305866e+00, 0.00000000e+00, 0.00000000e+00, -7.51305866e+00, 7.51305866e+00, 7.51305866e+00, 1.72830624e-07, -1.68283520e-08, -7.51305866e+00, 0.00000000e+00, 2.68754196e+01, -2.68754196e+01, 0.00000000e+00, 0.00000000e+00, 2.91692334e+03, 2.83638525e+03, 1.24526322e+00, 1.00000000e+00, 4.99999942e-03
4, 1.20954895e+00, 1.00000000e+00, 4.99999942e-03, null, 1.78570728e-04, 2.00000000e+00, 9.98200012e+02, 787, 1.16799986e+00, 3.57160759e+00, 1.00024402e+00, 2.29420178e-02, -4.68991045e-03, -2.24575363e-02, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.05756302e+01, 8.94243698e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, -1.25762695e+02, 1.41069611e+02, 8.25282782e-02, 5.00000000e+00, 5.00000000e+00, 4.33640175e+01, -1.24469948e+00, 4.33461494e+01, 1.57667728e-07, 5.00000000e+00, 0.00000000e+00, 1.26479030e+00, -6.20031714e-01, 1.10238612e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.39661827e+01, 0.00000000e+00, 1.57667728e-07, -4.39661827e+01, -1.42313361e-01, 0.00000000e+00, 2.55038490e+01, -2.24488888e+01, 4.39661827e+01, 4.39661827e+01, 0.00000000e+00, 5.04963207e+00, 6.14281067e+02, 5.04963207e+00, 0.00000000e+00, 0.00000000e+00, -5.04963207e+00, 5.04963207e+00, 5.04963207e+00, 3.44136346e-08, 1.93557828e-08, -5.04963207e+00, 0.00000000e+00, 2.62636013e+01, -2.62636013e+01, 0.00000000e+00, 0.00000000e+00, 2.88071875e+03, 2.80734033e+03, 1.20954895e+00, 1.00000000e+00, 4.99999942e-03
5, 1.20954895e+00, 1.00000000e+00, -4.99999942e-03, null, 1.78570728e-04, 2.00000000e+00, 9.98200012e+02, 1628, 1.16799986e+00, 3.57160759e+00, 1.00024402e+00, 2.29420178e-02, -4.68991045e-03, -2.24575363e-02, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.05756302e+01, 8.94243698e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, -1.25762695e+02, 1.41069611e+02, 8.25282782e-02, 5.00000000e+00, 5.00000000e+00, 4.33640175e+01, -1.24469948e+00, 4.33461494e+01, 1.57667728e-07, 5.00000000e+00, 0.00000000e+00, 1.26479030e+00, -6.20031714e-01, 1.10238612e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.39661827e+01, 0.00000000e+00, 1.57667728e-07, -4.39661827e+01, -1.42313361e-01, 0.00000000e+00, 2.55038490e+01, -2.24488888e+01, 4.39661827e+01, 4.39661827e+01, 0.00000000e+00, 5.04963207e+00, 6.14281067e+02, 5.04963207e+00, 0.00000000e+00, 0.00000000e+00, -5.04963207e+00, 5.04963207e+00, 5.04963207e+00, 3.44136346e-08, 1.93557828e-08, -5.04963207e+00, 0.00000000e+00, 2.62636013e+01, -2.62636013e+01, 0.00000000e+00, 0.00000000e+00, 2.88071875e+03, 2.80734033e+03, 1.20954895e+00, 1.00000000e+00, -4.99999942e-03
6, 1.17383468e+00, 1.00000000e+00, -4.99999942e-03, null, 1.78571921e-04, 2.00000000e+00, 9.98200012e+02, 1581, 1.15889227e+00, 3.57142735e+00, 1.00252128e+00, 3.33029628e-02, -4.61524399e-03, -3.29816118e-02, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.05770798e+01, 8.94229202e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, -1.84696518e+02, 1.40493073e+02, 8.15499574e-02, 5.00000000e+00, 5.00000000e+00, 4.28964577e+01, -8.49770665e-01, 4.28880386e+01, 2.47300409e-06, 5.00000000e+00, 0.00000000e+00, 7.71790326e-01, -3.03489685e-01, 7.09615648e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.31915283e+01, 0.00000000e+00, 2.47300409e-06, -4.31915283e+01, -1.40155017e-01, 0.00000000e+00, 1.24130669e+01, -9.41702557e+00, 4.31915283e+01, 4.31915283e+01, -1.45716772e-16, 3.52252126e+00, 7.08111496e+01, 3.52252126e+00, 0.00000000e+00, 0.00000000e+00, -3.52252126e+00, 3.52252126e+00, 3.52252126e+00, 4.97992232e-07, 2.12982187e-07, -3.52252126e+00, 0.00000000e+00, 2.58452950e+01, -2.58452950e+01, 0.00000000e+00, 0.00000000e+00, 2.85244043e+03, 2.78554810e+03, 1.17383468e+00, 1.00000000e+00, -4.99999942e-03
7, 1.17383468e+00, 1.00000000e+00, 4.99999942e-03, null, 1.78571921e-04, 2.00000000e+00, 9.98200012e+02, 740, 1.15889227e+00, 3.57142735e+00, 1.00252128e+00, 3.33029628e-02, -4.61524399e-03, -3.29816118e-02, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.05770798e+01, 8.94229202e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, -1.84696518e+02, 1.40493073e+02, 8.15499574e-02, 5.00000000e+00, 5.00000000e+00, 4.28964577e+01, -8.49770665e-01, 4.28880386e+01, 2.47300409e-06, 5.00000000e+00, 0.00000000e+00, 7.71790326e-01, -3.03489685e-01, 7.09615648e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.31915283e+01, 0.00000000e+00, 2.47300409e-06, -4.31915283e+01, -1.40155017e-01, 0.00000000e+00, 1.24130669e+01, -9.41702557e+00, 4.31915283e+01, 4.31915283e+01, -1.45716772e-16, 3.52252126e+00, 7.08111496e+01, 3.52252126e+00, 0.00000000e+00, 0.00000000e+00, -3.52252126e+00, 3.52252126e+00, 3.52252126e+00, 4.97992232e-07, 2.12982187e-07, -3.52252126e+00, 0.00000000e+00, 2.58452950e+01, -2.58452950e+01, 0.00000000e+00, 0.00000000e+00, 2.85244043e+03, 2.78554810e+03, 1.17383468e+00, 1.00000000e+00, 4.99999942e-03
8, 1.31669176e+00, 1.00000000e+00, 4.99999942e-03, null, 1.78571921e-04, 2.00000000e+00, 9.98200012e+02, 742, 1.11443543e+00, 3.57423139e+00, 1.00078177e+00, 5.26566468e-02, -4.87128831e-03, 5.24308421e-02, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.01259308e+01, 8.98740692e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 2.93611908e+02, 1.36379272e+02, 7.77970999e-02, 5.00000000e+00, 5.00000000e+00, 4.31401939e+01, -5.12447548e+00, 4.28347511e+01, 0.00000000e+00, 5.00000000e+00, 0.00000000e+00, 4.86023569e+00, -1.25234389e+00, 4.69611788e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.40870934e+01, 0.00000000e+00, 0.00000000e+00, -4.40870934e+01, -4.28357601e-01, 0.00000000e+00, 2.95786991e+01, -2.03358746e+01, 4.40870934e+01, 4.40870934e+01, -3.05311332e-16, 5.43441105e+00, 9.56972229e+02, 5.43441105e+00, 0.00000000e+00, 0.00000000e+00, -5.43441105e+00, 5.43441105e+00, 5.43441105e+00, 0.00000000e+00, 0.00000000e+00, -5.43441105e+00, 0.00000000e+00, 2.72791405e+01, -2.72791405e+01, 0.00000000e+00, 0.00000000e+00, 2.93673608e+03, 2.72289673e+03, 1.31669176e+00, 1.00000000e+00, 4.99999942e-03
9, 1.31669176e+00, 1.00000000e+00, -4.99999942e-03, null, 1.78571921e-04, 2.00000000e+00, 9.98200012e+02, 1583, 1.11443543e+00, 3.57423139e+00, 1.00078177e+00, 5.26566468e-02, -4.87128831e-03, 5.24308421e-02, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.01259308e+01, 8.98740692e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 2.93611908e+02, 1.36379272e+02, 7.77970999e-02, 5.00000000e+00, 5.00000000e+00, 4.31401939e+01, -5.12447548e+00, 4.28347511e+01, 0.00000000e+00, 5.00000000e+00, 0.00000000e+00, 4.86023569e+00, -1.25234389e+00, 4.69611788e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.40870934e+01, 0.00000000e+00, 0.00000000e+00, -4.40870934e+01, -4.28357601e-01, 0.00000000e+00, 2.95786991e+01, -2.03358746e+01, 4.40870934e+01, 4.40870934e+01, -3.05311332e-16, 5.43441105e+00, 9.56972229e+02, 5.43441105e+00, 0.00000000e+00, 0.00000000e+00, -5.43441105e+00, 5.43441105e+00, 5.43441105e+00, 0.00000000e+00, 0.00000000e+00, -5.43441105e+00, 0.00000000e+00, 2.72791405e+01, -2.72791405e+01, 0.00000000e+00, 0.00000000e+00, 2.93673608e+03, 2.72289673e+03, 1.31669176e+00, 1.00000000e+00, -4.99999942e-03
