
[Name]
surface_body

[Data]
Node Number, X [ m ], Y [ m ], Z [ m ], Approximated Mass Flow [ kg s^-1 ], Connectivity Number, Density [ kg m^-3 ], Domain Node Number [  ], Eddy Viscosity [ Pa s ], Edge Length Ratio, Element Volume Ratio, Force [ N ], Force X [ N ], Force Y [ N ], Force Z [ N ], Heat Flux [ W m^-2 ], Interpolated Mass Flow [ kg s^-1 ], Length [ m ], Mass Flow [ kg s^-1 ], Mass Flux [ kg s^-1 m^-2 ], Maximum Face Angle [ degree ], Minimum Face Angle [ degree ], Pressure [ Pa ], Specific Dissipation Rate [ s^-1 ], Streamline Number on Streamline 1, Time on Streamline 1 [ s ], Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity u.Gradient [ s^-1 ], Velocity u.Gradient X [ s^-1 ], Velocity u.Gradient Y [ s^-1 ], Velocity u.Gradient Z [ s^-1 ], Velocity u_Scalar [ m s^-1 ], Velocity v [ m s^-1 ], Velocity v.Gradient [ s^-1 ], Velocity v.Gradient X [ s^-1 ], Velocity v.Gradient Y [ s^-1 ], Velocity v.Gradient Z [ s^-1 ], Velocity v_Scalar [ m s^-1 ], Velocity w [ m s^-1 ], Velocity w.Gradient [ s^-1 ], Velocity w.Gradient X [ s^-1 ], Velocity w.Gradient Y [ s^-1 ], Velocity w.Gradient Z [ s^-1 ], Velocity.Absolute Helicity [ m s^-2 ], Velocity.Curl [ s^-1 ], Velocity.Curl X [ s^-1 ], Velocity.Curl Y [ s^-1 ], Velocity.Curl Z [ s^-1 ], Velocity.Divergence [ s^-1 ], Velocity.Helicity [ m s^-2 ], Velocity.Invariant Q [ s^-2 ], Velocity.Lambda 2 [ s^-2 ], Velocity.Normal Eigen Helicity [ s^-1 ], Velocity.Real Eigen Helicity [ s^-1 ], Velocity.Real Eigenvalue [ s^-1 ], Velocity.Stretched Swirling Strength, Velocity.Swirling Discriminant [ s^-6 ], Velocity.Swirling Normal [ s^-1 ], Velocity.Swirling Normal X [ s^-1 ], Velocity.Swirling Normal Y [ s^-1 ], Velocity.Swirling Normal Z [ s^-1 ], Velocity.Swirling Strength [ s^-1 ], Velocity.Swirling Vector [ s^-1 ], Velocity.Swirling Vector X [ s^-1 ], Velocity.Swirling Vector Y [ s^-1 ], Velocity.Swirling Vector Z [ s^-1 ], Volume [ m^3 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ], Wall Yplus, Wall Ystar, X [ m ], Y [ m ], Z [ m ]
0, 8.51582348e-01, 4.99354273e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200012e+02, 1, 6.44112301e+00, 3.63192534e+00, 1.00746739e+00, null, null, null, null, null, null, null, null, null, 9.04208527e+01, 8.94172134e+01, -4.59896759e+02, 1.64559841e+00, null, null, 1.06186224e-02, 1.51496828e-02, -7.52360094e-04, 1.28458822e+00, -1.71127599e-02, 1.28447413e+00, 9.11610520e-09, -7.63311516e-04, 1.51309893e-02, 1.28956425e+00, -1.28934884e+00, 2.35721208e-02, -1.80764594e-08, 1.52056292e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.24335681e-10, 2.57382298e+00, 1.80764594e-08, 9.11610520e-09, -2.57382298e+00, 6.45936094e-03, 1.24335681e-10, 1.65573180e+00, -1.65557861e+00, 2.57382298e+00, 2.57382298e+00, -3.68628739e-17, 1.28674841e+00, 1.68113858e-01, 1.28674841e+00, 0.00000000e+00, 0.00000000e+00, -1.28674841e+00, 1.28674841e+00, 1.28674841e+00, 1.82113951e-08, 9.37487243e-09, -1.28674841e+00, 6.55091662e-06, null, null, null, null, null, null, 8.51582348e-01, 4.99354273e-01, 4.99999942e-03
1, 8.52561474e-01, 5.71986139e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200012e+02, 2, 6.30038786e+00, 3.63192225e+00, 1.01089573e+00, null, null, null, null, null, null, null, null, null, 9.03513870e+01, 8.96182556e+01, -4.55655182e+02, 1.72250640e+00, null, null, 1.08696278e-02, 9.45250764e-02, 9.32214409e-02, 1.31860650e+00, -2.32797433e-02, 1.31840098e+00, 3.63771129e-08, 9.32899192e-02, 1.56445634e-02, 1.25998712e+00, -1.25977397e+00, 2.31765546e-02, 0.00000000e+00, 1.57051142e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.69104042e-10, 2.57817507e+00, 0.00000000e+00, 3.63771129e-08, -2.57817507e+00, -1.03188679e-04, 5.69104042e-10, 1.66034770e+00, -1.66034389e+00, 2.57817507e+00, 2.57817507e+00, 7.40171271e-17, 1.28854477e+00, 1.69524848e-01, 1.28854477e+00, 0.00000000e+00, 0.00000000e+00, -1.28854477e+00, 1.28854477e+00, 1.28854477e+00, 6.54300947e-10, 3.55648773e-08, -1.28854477e+00, 6.54583982e-06, null, null, null, null, null, null, 8.52561474e-01, 5.71986139e-01, 4.99999942e-03
2, 9.24116433e-01, 4.99114364e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200073e+02, 3, 6.36090899e+00, 3.62762594e+00, 1.01107395e+00, null, null, null, null, null, null, null, null, null, 9.06659012e+01, 8.93013077e+01, -4.56939240e+02, 1.69594014e+00, null, null, 1.08058164e-02, 7.94076622e-02, -2.58696778e-03, 1.24980998e+00, -1.96632873e-02, 1.24965537e+00, -9.06998476e-09, -2.51162774e-03, -7.93655142e-02, 1.32945812e+00, -1.32929361e+00, 2.09135022e-02, -9.06304010e-09, -7.94160962e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.96398217e-10, 2.57894897e+00, 9.06304010e-09, -9.06998476e-09, -2.57894897e+00, 1.25021487e-03, 6.96398217e-10, 1.66074765e+00, -1.66069102e+00, 2.57894897e+00, 2.57894897e+00, -3.70255042e-17, 1.28869987e+00, 1.69647351e-01, 1.28869987e+00, 0.00000000e+00, 0.00000000e+00, -1.28869987e+00, 1.28869987e+00, 1.28869987e+00, 8.64125926e-09, -9.21739929e-09, -1.28869987e+00, 6.54136147e-06, null, null, null, null, null, null, 9.24116433e-01, 4.99114364e-01, 4.99999942e-03
3, 8.51336122e-01, 4.26857829e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200012e+02, 4, 6.39300966e+00, 3.62484193e+00, 1.00832427e+00, null, null, null, null, null, null, null, null, null, 9.07050323e+01, 8.94904633e+01, -4.55451782e+02, 1.73363912e+00, null, null, 1.11015635e-02, 9.57691073e-02, -9.46772322e-02, 1.31709421e+00, -1.26630878e-02, 1.31703329e+00, 0.00000000e+00, -9.47326794e-02, 1.44202281e-02, 1.25815284e+00, -1.25809610e+00, 1.19446889e-02, 9.08124331e-09, 1.44601483e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.59786964e-10, 2.57512951e+00, -9.08124331e-09, 0.00000000e+00, -2.57512951e+00, -7.18398951e-04, 8.59786964e-10, 1.65680313e+00, -1.65678000e+00, 2.57512951e+00, 2.57512951e+00, 0.00000000e+00, 1.28716862e+00, 1.68441445e-01, 1.28716862e+00, 0.00000000e+00, 0.00000000e+00, -1.28716862e+00, 1.28716862e+00, 1.28716862e+00, -9.29194410e-09, -8.93407223e-11, -1.28716862e+00, 6.52867129e-06, null, null, null, null, null, null, 8.51336122e-01, 4.26857829e-01, 4.99999942e-03
4, 7.79620647e-01, 5.00127375e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200073e+02, 5, 6.34501505e+00, 3.61934805e+00, 1.00515139e+00, null, null, null, null, null, null, null, null, null, 9.01255569e+01, 8.97098160e+01, -4.54212799e+02, 1.76535082e+00, null, null, 1.12187611e-02, 1.08839534e-01, 1.62985874e-03, 1.26134467e+00, -2.17060875e-02, 1.26115787e+00, -1.53502645e-11, 1.60941971e-03, 1.08827330e-01, 1.31729472e+00, -1.31711555e+00, 2.17250194e-02, -1.81609625e-08, 1.08786613e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.79292769e-11, 2.57827330e+00, 1.81609625e-08, -1.53502645e-11, -2.57827330e+00, 1.89319253e-05, 2.79292769e-11, 1.66061902e+00, -1.66061842e+00, 2.57827330e+00, 2.57827330e+00, -1.11022302e-16, 1.28865016e+00, 1.69607982e-01, 1.28865016e+00, 0.00000000e+00, 0.00000000e+00, -1.28865016e+00, 1.28865016e+00, 1.28865016e+00, 1.77732566e-08, 2.90214852e-10, -1.28865016e+00, 6.53022244e-06, null, null, null, null, null, null, 7.79620647e-01, 5.00127375e-01, 4.99999942e-03
5, 7.80316353e-01, 5.72478712e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98199951e+02, 6, 6.19754839e+00, 3.63876200e+00, 1.01063120e+00, null, null, null, null, null, null, null, null, null, 9.01602783e+01, 8.97206955e+01, -4.49769562e+02, 1.84761190e+00, null, null, 1.14660319e-02, 1.42608240e-01, 9.36134830e-02, 1.29440069e+00, 3.30408253e-02, 1.29397893e+00, 0.00000000e+00, 9.36854705e-02, 1.07580796e-01, 1.28785205e+00, -1.28741276e+00, -3.36350240e-02, -9.10382258e-09, 1.07526012e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.52240556e-10, 2.58139181e+00, 9.10382258e-09, 0.00000000e+00, -2.58139181e+00, -5.94198704e-04, 8.52240556e-10, 1.66477358e+00, -1.66475356e+00, 2.58139181e+00, 2.58139181e+00, 0.00000000e+00, 1.29026103e+00, 1.70884162e-01, 1.29026103e+00, 0.00000000e+00, 0.00000000e+00, -1.29026103e+00, 1.29026103e+00, 1.29026103e+00, 9.13005493e-09, -2.33129405e-10, -1.29026103e+00, 6.53406323e-06, null, null, null, null, null, null, 7.80316353e-01, 5.72478712e-01, 4.99999942e-03
6, 9.24885452e-01, 5.71286976e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200073e+02, 7, 6.23232889e+00, 3.62246370e+00, 1.00314450e+00, null, null, null, null, null, null, null, null, null, 9.01857529e+01, 8.96610641e+01, -4.52524658e+02, 1.77018118e+00, null, null, 1.10488832e-02, 1.17063075e-01, 8.85267630e-02, 1.28454220e+00, -8.55873376e-02, 1.28168774e+00, 0.00000000e+00, 8.85451585e-02, -7.65948743e-02, 1.30309963e+00, -1.30034411e+00, 8.46978202e-02, 1.81885937e-08, -7.66095594e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.61017732e-09, 2.58203173e+00, -1.81885937e-08, 0.00000000e+00, -2.58203173e+00, -8.89517367e-04, -1.61017732e-09, 1.65938604e+00, -1.65930951e+00, 2.58203173e+00, 2.58203173e+00, -3.70255042e-17, 1.28817153e+00, 1.69230431e-01, 1.28817153e+00, 0.00000000e+00, 0.00000000e+00, -1.28817153e+00, 1.28817153e+00, 1.28817153e+00, -1.80970421e-08, -1.20846733e-09, -1.28817153e+00, 6.52299605e-06, null, null, null, null, null, null, 9.24885452e-01, 5.71286976e-01, 4.99999942e-03
7, 9.23669577e-01, 4.26563203e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200012e+02, 8, 6.31557083e+00, 3.62762880e+00, 1.00714576e+00, null, null, null, null, null, null, null, null, null, 9.05903931e+01, 8.93962784e+01, -4.52314117e+02, 1.78897035e+00, null, null, 1.13158040e-02, 1.21783629e-01, -9.37300622e-02, 1.28157306e+00, 4.91905808e-02, 1.28062868e+00, 0.00000000e+00, -9.38081369e-02, -7.77555630e-02, 1.29669094e+00, -1.29571295e+00, -5.03525995e-02, 0.00000000e+00, -7.77534172e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.57634163e+00, 0.00000000e+00, 0.00000000e+00, -2.57634163e+00, -1.16201863e-03, 0.00000000e+00, 1.65685022e+00, -1.65679109e+00, 2.57634163e+00, 2.57634163e+00, -3.70255042e-17, 1.28718686e+00, 1.68455794e-01, 1.28718686e+00, 0.00000000e+00, 0.00000000e+00, -1.28718686e+00, 1.28718686e+00, 1.28718686e+00, 0.00000000e+00, 0.00000000e+00, -1.28718686e+00, 6.53965935e-06, null, null, null, null, null, null, 9.23669577e-01, 4.26563203e-01, 4.99999942e-03
8, 7.79209614e-01, 4.27744180e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200073e+02, 9, 6.29801369e+00, 3.63222003e+00, 1.00544739e+00, null, null, null, null, null, null, null, null, null, 9.05255203e+01, 8.91786194e+01, -4.49628967e+02, 1.85663736e+00, null, null, 1.17099266e-02, 1.39193729e-01, -9.05309841e-02, 1.29290354e+00, -7.55883381e-02, 1.29069209e+00, 9.09541864e-09, -9.05179605e-02, 1.05730958e-01, 1.28909945e+00, -1.28689611e+00, 7.53367469e-02, 9.32872807e-11, 1.05785057e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.70112657e-10, 2.57758808e+00, -9.32872807e-11, 9.09541864e-09, -2.57758808e+00, -2.51591206e-04, 9.70112657e-10, 1.65529203e+00, -1.65527308e+00, 2.57758808e+00, 2.57758808e+00, 0.00000000e+00, 1.28658152e+00, 1.67980984e-01, 1.28658152e+00, 0.00000000e+00, 0.00000000e+00, -1.28658152e+00, 1.28658152e+00, 1.28658152e+00, 4.39003722e-10, 9.09216169e-09, -1.28658152e+00, 6.51406071e-06, null, null, null, null, null, null, 7.79209614e-01, 4.27744180e-01, 4.99999942e-03
9, 7.07968056e-01, 5.72698712e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200012e+02, 10, 5.89749336e+00, 3.60957909e+00, 1.00833106e+00, null, null, null, null, null, null, null, null, null, 9.08472900e+01, 8.92167740e+01, -4.35406250e+02, 2.18503714e+00, null, null, 1.28952377e-02, 2.22702682e-01, 8.95411521e-02, 1.21402681e+00, 8.94993469e-02, 1.21072328e+00, -9.06015618e-09, 8.95387009e-02, 2.03908965e-01, 1.38798583e+00, -1.38517380e+00, -8.83067772e-02, -1.27640523e-10, 2.03978390e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.83601800e-09, 2.59589720e+00, 1.27640523e-10, -9.06015618e-09, -2.59589720e+00, 1.19256973e-03, -1.83601800e-09, 1.66915870e+00, -1.66900957e+00, 2.59589720e+00, 2.59589720e+00, -3.70255042e-17, 1.29195917e+00, 1.72238052e-01, 1.29195917e+00, 0.00000000e+00, 0.00000000e+00, -1.29195917e+00, 1.29195917e+00, 1.29195917e+00, 7.38885897e-10, -9.72268488e-09, -1.29195917e+00, 6.48341893e-06, null, null, null, null, null, null, 7.07968056e-01, 5.72698712e-01, 4.99999942e-03
