
[Name]
moving_wall

[Data]
Node Number, X [ m ], Y [ m ], Z [ m ], Approximated Mass Flow [ kg s^-1 ], Area [ m^2 ], Connectivity Number, Density [ kg m^-3 ], Domain Node Number [  ], Eddy Viscosity [ Pa s ], Edge Length Ratio, Element Volume Ratio, Force [ N ], Force X [ N ], Force Y [ N ], Force Z [ N ], Heat Flux [ W m^-2 ], Interpolated Mass Flow [ kg s^-1 ], Length [ m ], Mass Flow [ kg s^-1 ], Mass Flux [ kg s^-1 m^-2 ], Maximum Face Angle [ degree ], Minimum Face Angle [ degree ], Normal, Normal X, Normal Y, Normal Z, Pressure [ Pa ], Specific Dissipation Rate [ s^-1 ], Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity u.Gradient [ s^-1 ], Velocity u.Gradient X [ s^-1 ], Velocity u.Gradient Y [ s^-1 ], Velocity u.Gradient Z [ s^-1 ], Velocity u_Scalar [ m s^-1 ], Velocity v [ m s^-1 ], Velocity v.Gradient [ s^-1 ], Velocity v.Gradient X [ s^-1 ], Velocity v.Gradient Y [ s^-1 ], Velocity v.Gradient Z [ s^-1 ], Velocity v_Scalar [ m s^-1 ], Velocity w [ m s^-1 ], Velocity w.Gradient [ s^-1 ], Velocity w.Gradient X [ s^-1 ], Velocity w.Gradient Y [ s^-1 ], Velocity w.Gradient Z [ s^-1 ], Velocity.Absolute Helicity [ m s^-2 ], Velocity.Curl [ s^-1 ], Velocity.Curl X [ s^-1 ], Velocity.Curl Y [ s^-1 ], Velocity.Curl Z [ s^-1 ], Velocity.Divergence [ s^-1 ], Velocity.Helicity [ m s^-2 ], Velocity.Invariant Q [ s^-2 ], Velocity.Lambda 2 [ s^-2 ], Velocity.Normal Eigen Helicity [ s^-1 ], Velocity.Real Eigen Helicity [ s^-1 ], Velocity.Real Eigenvalue [ s^-1 ], Velocity.Stretched Swirling Strength, Velocity.Swirling Discriminant [ s^-6 ], Velocity.Swirling Normal [ s^-1 ], Velocity.Swirling Normal X [ s^-1 ], Velocity.Swirling Normal Y [ s^-1 ], Velocity.Swirling Normal Z [ s^-1 ], Velocity.Swirling Strength [ s^-1 ], Velocity.Swirling Vector [ s^-1 ], Velocity.Swirling Vector X [ s^-1 ], Velocity.Swirling Vector Y [ s^-1 ], Velocity.Swirling Vector Z [ s^-1 ], Volume [ m^3 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ], Wall Yplus, Wall Ystar, X [ m ], Y [ m ], Z [ m ]
0, 1.28097749e+00, 1.00000000e+00, 4.99999942e-03, null, 1.78571034e-04, 2.00000000e+00, 9.98200012e+02, 786, 8.71722747e-08, 3.57705283e+00, 1.00031614e+00, 2.44295482e-08, -4.73220485e-09, 2.39668321e-08, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.02516708e+01, 8.97483368e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.34214555e-04, 3.51880103e-01, 1.19047532e-11, 1.00000005e-03, 1.00000005e-03, 8.68728943e-03, -2.16496759e-03, 8.41319934e-03, 2.83589374e-10, 1.00000005e-03, 0.00000000e+00, 2.94180098e-03, -1.66268065e-03, 2.42686761e-03, -7.12112452e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.12112457e-14, 1.00758802e-02, 7.12112452e-11, 2.83589374e-10, -1.00758802e-02, 2.61900015e-04, 7.12112457e-14, 8.73437421e-06, -7.63097341e-06, 1.00758802e-02, 1.00758802e-02, -7.18283939e-19, 2.95249489e-03, 2.46307768e-17, 2.95249489e-03, 0.00000000e+00, 0.00000000e+00, -2.95249489e-03, 2.95249489e-03, 2.95249489e-03, 4.35164488e-10, 2.11502565e-10, -2.95249489e-03, 0.00000000e+00, 2.65004055e-05, -2.65004055e-05, 0.00000000e+00, 0.00000000e+00, 2.87619328e+00, 2.86990976e+00, 1.28097749e+00, 1.00000000e+00, 4.99999942e-03
1, 1.28097749e+00, 1.00000000e+00, -4.99999942e-03, null, 1.78571034e-04, 2.00000000e+00, 9.98200012e+02, 1627, 8.71722747e-08, 3.57705283e+00, 1.00031614e+00, 2.44295482e-08, -4.73220485e-09, 2.39668321e-08, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.02516708e+01, 8.97483368e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.34214555e-04, 3.51880103e-01, 1.19047532e-11, 1.00000005e-03, 1.00000005e-03, 8.68728943e-03, -2.16496759e-03, 8.41319934e-03, 2.83589374e-10, 1.00000005e-03, 0.00000000e+00, 2.94180098e-03, -1.66268065e-03, 2.42686761e-03, -7.12112452e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.12112457e-14, 1.00758802e-02, 7.12112452e-11, 2.83589374e-10, -1.00758802e-02, 2.61900015e-04, 7.12112457e-14, 8.73437421e-06, -7.63097341e-06, 1.00758802e-02, 1.00758802e-02, -7.18283939e-19, 2.95249489e-03, 2.46307768e-17, 2.95249489e-03, 0.00000000e+00, 0.00000000e+00, -2.95249489e-03, 2.95249489e-03, 2.95249489e-03, 4.35164488e-10, 2.11502565e-10, -2.95249489e-03, 0.00000000e+00, 2.65004055e-05, -2.65004055e-05, 0.00000000e+00, 0.00000000e+00, 2.87619328e+00, 2.86990976e+00, 1.28097749e+00, 1.00000000e+00, -4.99999942e-03
2, 1.24526322e+00, 1.00000000e+00, -4.99999942e-03, null, 1.78571616e-04, 2.00000000e+00, 9.98200012e+02, 1582, 8.31835649e-08, 3.57431579e+00, 1.00078332e+00, 1.22121673e-08, -3.48597595e-09, 1.17040591e-08, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.04135208e+01, 8.95864792e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 6.55426629e-05, 3.37236166e-01, 1.06776237e-11, 1.00000005e-03, 1.00000005e-03, 7.94649404e-03, -1.70222402e-03, 7.76203535e-03, 0.00000000e+00, 1.00000005e-03, 0.00000000e+00, 1.45615486e-03, -8.65839946e-04, 1.17077248e-03, -7.07895756e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.07895792e-14, 8.62787571e-03, 7.07895756e-11, 0.00000000e+00, -8.62787571e-03, -5.31451544e-04, 7.07895792e-14, 4.72776310e-06, -2.60138063e-06, 8.62787571e-03, 8.62787571e-03, 9.48676901e-19, 2.15804391e-03, 3.85538875e-18, 2.15804391e-03, 0.00000000e+00, 0.00000000e+00, -2.15804391e-03, 2.15804391e-03, 2.15804391e-03, 2.50812676e-10, 5.50035330e-11, -2.15804391e-03, 0.00000000e+00, 1.95214452e-05, -1.95214452e-05, 0.00000000e+00, 0.00000000e+00, 2.48581147e+00, 2.48253417e+00, 1.24526322e+00, 1.00000000e+00, -4.99999942e-03
3, 1.24526322e+00, 1.00000000e+00, 4.99999942e-03, null, 1.78571616e-04, 2.00000000e+00, 9.98200012e+02, 741, 8.31835649e-08, 3.57431579e+00, 1.00078332e+00, 1.22121673e-08, -3.48597595e-09, 1.17040591e-08, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.04135208e+01, 8.95864792e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 6.55426629e-05, 3.37236166e-01, 1.06776237e-11, 1.00000005e-03, 1.00000005e-03, 7.94649404e-03, -1.70222402e-03, 7.76203535e-03, 0.00000000e+00, 1.00000005e-03, 0.00000000e+00, 1.45615486e-03, -8.65839946e-04, 1.17077248e-03, -7.07895756e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.07895792e-14, 8.62787571e-03, 7.07895756e-11, 0.00000000e+00, -8.62787571e-03, -5.31451544e-04, 7.07895792e-14, 4.72776310e-06, -2.60138063e-06, 8.62787571e-03, 8.62787571e-03, 9.48676901e-19, 2.15804391e-03, 3.85538875e-18, 2.15804391e-03, 0.00000000e+00, 0.00000000e+00, -2.15804391e-03, 2.15804391e-03, 2.15804391e-03, 2.50812676e-10, 5.50035330e-11, -2.15804391e-03, 0.00000000e+00, 1.95214452e-05, -1.95214452e-05, 0.00000000e+00, 0.00000000e+00, 2.48581147e+00, 2.48253417e+00, 1.24526322e+00, 1.00000000e+00, 4.99999942e-03
4, 1.20954895e+00, 1.00000000e+00, 4.99999942e-03, null, 1.78570728e-04, 2.00000000e+00, 9.98200012e+02, 787, 8.28680200e-08, 3.57160759e+00, 1.00024402e+00, 4.79924545e-09, -3.19690652e-09, 3.57946162e-09, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.05756302e+01, 8.94243698e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 2.00450631e-05, 3.33855361e-01, 1.04777038e-11, 1.00000005e-03, 1.00000005e-03, 7.34984130e-03, -6.45212363e-04, 7.32146623e-03, 0.00000000e+00, 1.00000005e-03, 0.00000000e+00, 6.63776358e-04, -3.46489309e-04, 5.66166244e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.66795548e-03, 0.00000000e+00, 0.00000000e+00, -7.66795548e-03, -7.90461199e-05, 0.00000000e+00, 2.17151228e-06, -1.88858905e-06, 7.66795548e-03, 7.66795548e-03, 1.45689667e-19, 1.47307513e-03, 3.78975047e-19, 1.47307513e-03, 0.00000000e+00, 0.00000000e+00, -1.47307513e-03, 1.47307513e-03, 1.47307513e-03, 0.00000000e+00, 0.00000000e+00, -1.47307513e-03, 0.00000000e+00, 1.79027465e-05, -1.79027465e-05, 0.00000000e+00, 0.00000000e+00, 2.37741995e+00, 2.37466836e+00, 1.20954895e+00, 1.00000000e+00, 4.99999942e-03
5, 1.20954895e+00, 1.00000000e+00, -4.99999942e-03, null, 1.78570728e-04, 2.00000000e+00, 9.98200012e+02, 1628, 8.28680200e-08, 3.57160759e+00, 1.00024402e+00, 4.79924545e-09, -3.19690652e-09, 3.57946162e-09, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.05756302e+01, 8.94243698e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 2.00450631e-05, 3.33855361e-01, 1.04777038e-11, 1.00000005e-03, 1.00000005e-03, 7.34984130e-03, -6.45212363e-04, 7.32146623e-03, 0.00000000e+00, 1.00000005e-03, 0.00000000e+00, 6.63776358e-04, -3.46489309e-04, 5.66166244e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.66795548e-03, 0.00000000e+00, 0.00000000e+00, -7.66795548e-03, -7.90461199e-05, 0.00000000e+00, 2.17151228e-06, -1.88858905e-06, 7.66795548e-03, 7.66795548e-03, 1.45689667e-19, 1.47307513e-03, 3.78975047e-19, 1.47307513e-03, 0.00000000e+00, 0.00000000e+00, -1.47307513e-03, 1.47307513e-03, 1.47307513e-03, 0.00000000e+00, 0.00000000e+00, -1.47307513e-03, 0.00000000e+00, 1.79027465e-05, -1.79027465e-05, 0.00000000e+00, 0.00000000e+00, 2.37741995e+00, 2.37466836e+00, 1.20954895e+00, 1.00000000e+00, -4.99999942e-03
6, 1.17383468e+00, 1.00000000e+00, -4.99999942e-03, null, 1.78571921e-04, 2.00000000e+00, 9.98200012e+02, 1581, 8.24314768e-08, 3.57142735e+00, 1.00252128e+00, 3.03741876e-09, -2.97145597e-09, -6.29573005e-10, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.05770798e+01, 8.94229202e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, -3.52559914e-06, 3.31791937e-01, 1.03146207e-11, 1.00000005e-03, 1.00000005e-03, 7.04779988e-03, -4.14803158e-04, 7.03558279e-03, 0.00000000e+00, 1.00000005e-03, 0.00000000e+00, 3.39781953e-04, -1.46995400e-04, 3.06339905e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.18257809e-03, 0.00000000e+00, 0.00000000e+00, -7.18257809e-03, -1.08463253e-04, 0.00000000e+00, 9.07127628e-07, -5.25624614e-07, 7.18257809e-03, 7.18257809e-03, 1.82959117e-19, 9.50887217e-04, 2.75569373e-20, 9.50887217e-04, 0.00000000e+00, 0.00000000e+00, -9.50887217e-04, 9.50887217e-04, 9.50887217e-04, 0.00000000e+00, 0.00000000e+00, -9.50887217e-04, 0.00000000e+00, 1.66401078e-05, -1.66401078e-05, 0.00000000e+00, 0.00000000e+00, 2.28875422e+00, 2.28640628e+00, 1.17383468e+00, 1.00000000e+00, -4.99999942e-03
7, 1.17383468e+00, 1.00000000e+00, 4.99999942e-03, null, 1.78571921e-04, 2.00000000e+00, 9.98200012e+02, 740, 8.24314768e-08, 3.57142735e+00, 1.00252128e+00, 3.03741876e-09, -2.97145597e-09, -6.29573005e-10, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.05770798e+01, 8.94229202e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, -3.52559914e-06, 3.31791937e-01, 1.03146207e-11, 1.00000005e-03, 1.00000005e-03, 7.04779988e-03, -4.14803158e-04, 7.03558279e-03, 0.00000000e+00, 1.00000005e-03, 0.00000000e+00, 3.39781953e-04, -1.46995400e-04, 3.06339905e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.18257809e-03, 0.00000000e+00, 0.00000000e+00, -7.18257809e-03, -1.08463253e-04, 0.00000000e+00, 9.07127628e-07, -5.25624614e-07, 7.18257809e-03, 7.18257809e-03, 1.82959117e-19, 9.50887217e-04, 2.75569373e-20, 9.50887217e-04, 0.00000000e+00, 0.00000000e+00, -9.50887217e-04, 9.50887217e-04, 9.50887217e-04, 0.00000000e+00, 0.00000000e+00, -9.50887217e-04, 0.00000000e+00, 1.66401078e-05, -1.66401078e-05, 0.00000000e+00, 0.00000000e+00, 2.28875422e+00, 2.28640628e+00, 1.17383468e+00, 1.00000000e+00, 4.99999942e-03
8, 1.31669176e+00, 1.00000000e+00, 4.99999942e-03, null, 1.78571921e-04, 2.00000000e+00, 9.98200012e+02, 742, 1.00623645e-07, 3.57423139e+00, 1.00078177e+00, 4.95456938e-08, -5.42976419e-09, 4.92472694e-08, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.01259308e+01, 8.98740692e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 2.75783939e-04, 3.47073913e-01, 1.26534304e-11, 1.00000005e-03, 1.00000005e-03, 8.88901111e-03, -2.35767919e-03, 8.57063942e-03, 2.84447244e-10, 1.00000005e-03, 0.00000000e+00, 3.71846743e-03, -8.13493214e-04, 3.62839201e-03, 7.09967640e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.09967702e-14, 9.38413292e-03, -7.09967640e-11, 2.84447244e-10, -9.38413292e-03, 1.27071282e-03, -7.09967702e-14, -1.58242756e-06, 2.11758237e-22, 0.00000000e+00, 0.00000000e+00, 1.91072526e-03, 0.00000000e+00, -1.84198453e-19, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.04065961e-05, -3.04065961e-05, 0.00000000e+00, 0.00000000e+00, 3.10040951e+00, 3.09257054e+00, 1.31669176e+00, 1.00000000e+00, 4.99999942e-03
9, 1.31669176e+00, 1.00000000e+00, -4.99999942e-03, null, 1.78571921e-04, 2.00000000e+00, 9.98200012e+02, 1583, 1.00623645e-07, 3.57423139e+00, 1.00078177e+00, 4.95456938e-08, -5.42976419e-09, 4.92472694e-08, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.01259308e+01, 8.98740692e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 2.75783939e-04, 3.47073913e-01, 1.26534304e-11, 1.00000005e-03, 1.00000005e-03, 8.88901111e-03, -2.35767919e-03, 8.57063942e-03, 2.84447244e-10, 1.00000005e-03, 0.00000000e+00, 3.71846743e-03, -8.13493214e-04, 3.62839201e-03, 7.09967640e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.09967702e-14, 9.38413292e-03, -7.09967640e-11, 2.84447244e-10, -9.38413292e-03, 1.27071282e-03, -7.09967702e-14, -1.58242756e-06, 2.11758237e-22, 0.00000000e+00, 0.00000000e+00, 1.91072526e-03, 0.00000000e+00, -1.84198453e-19, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.04065961e-05, -3.04065961e-05, 0.00000000e+00, 0.00000000e+00, 3.10040951e+00, 3.09257054e+00, 1.31669176e+00, 1.00000000e+00, -4.99999942e-03
