
[Name]
surface_body

[Data]
Node Number, X [ m ], Y [ m ], Z [ m ], Approximated Mass Flow [ kg s^-1 ], Connectivity Number, Density [ kg m^-3 ], Domain Node Number [  ], Eddy Viscosity [ Pa s ], Edge Length Ratio, Element Volume Ratio, Force [ N ], Force X [ N ], Force Y [ N ], Force Z [ N ], Heat Flux [ W m^-2 ], Interpolated Mass Flow [ kg s^-1 ], Length [ m ], Mass Flow [ kg s^-1 ], Mass Flux [ kg s^-1 m^-2 ], Maximum Face Angle [ degree ], Minimum Face Angle [ degree ], Pressure [ Pa ], Specific Dissipation Rate [ s^-1 ], Streamline Number on Streamline 1, Time on Streamline 1 [ s ], Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity u.Gradient [ s^-1 ], Velocity u.Gradient X [ s^-1 ], Velocity u.Gradient Y [ s^-1 ], Velocity u.Gradient Z [ s^-1 ], Velocity u_Scalar [ m s^-1 ], Velocity v [ m s^-1 ], Velocity v.Gradient [ s^-1 ], Velocity v.Gradient X [ s^-1 ], Velocity v.Gradient Y [ s^-1 ], Velocity v.Gradient Z [ s^-1 ], Velocity v_Scalar [ m s^-1 ], Velocity w [ m s^-1 ], Velocity w.Gradient [ s^-1 ], Velocity w.Gradient X [ s^-1 ], Velocity w.Gradient Y [ s^-1 ], Velocity w.Gradient Z [ s^-1 ], Velocity.Absolute Helicity [ m s^-2 ], Velocity.Curl [ s^-1 ], Velocity.Curl X [ s^-1 ], Velocity.Curl Y [ s^-1 ], Velocity.Curl Z [ s^-1 ], Velocity.Divergence [ s^-1 ], Velocity.Helicity [ m s^-2 ], Velocity.Invariant Q [ s^-2 ], Velocity.Lambda 2 [ s^-2 ], Velocity.Normal Eigen Helicity [ s^-1 ], Velocity.Real Eigen Helicity [ s^-1 ], Velocity.Real Eigenvalue [ s^-1 ], Velocity.Stretched Swirling Strength, Velocity.Swirling Discriminant [ s^-6 ], Velocity.Swirling Normal [ s^-1 ], Velocity.Swirling Normal X [ s^-1 ], Velocity.Swirling Normal Y [ s^-1 ], Velocity.Swirling Normal Z [ s^-1 ], Velocity.Swirling Strength [ s^-1 ], Velocity.Swirling Vector [ s^-1 ], Velocity.Swirling Vector X [ s^-1 ], Velocity.Swirling Vector Y [ s^-1 ], Velocity.Swirling Vector Z [ s^-1 ], Volume [ m^3 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ], Wall Yplus, Wall Ystar, X [ m ], Y [ m ], Z [ m ]
0, 8.51582348e-01, 4.99354273e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200012e+02, 1, 8.81076915e-07, 3.63192534e+00, 1.00746739e+00, null, null, null, null, null, null, null, null, null, 9.04208527e+01, 8.94172134e+01, -9.53251292e-05, 1.02363538e-03, null, null, 9.02825124e-13, 8.00097841e-05, -7.55605288e-05, 9.71312460e-04, -1.19037722e-04, 9.63990635e-04, 8.90244649e-12, -7.55618821e-05, 2.63091679e-05, 1.01464812e-03, -1.00797729e-03, 1.16157265e-04, 0.00000000e+00, 2.63664442e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.34215965e-16, 1.97196798e-03, 0.00000000e+00, 8.90244649e-12, -1.97196798e-03, -2.88045703e-06, 2.34215965e-16, 9.57853672e-07, -9.57504767e-07, 1.97196798e-03, 1.97196798e-03, 7.22095588e-20, 9.78698838e-04, 3.25486265e-20, 9.78698838e-04, 0.00000000e+00, 0.00000000e+00, -9.78698838e-04, 9.78698838e-04, 9.78698838e-04, 1.05658798e-12, 9.16874823e-12, -9.78698838e-04, 6.55091662e-06, null, null, null, null, null, null, 8.51582348e-01, 4.99354273e-01, 4.99999942e-03
1, 8.52561474e-01, 5.71986139e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200012e+02, 2, 9.10864969e-07, 3.63192225e+00, 1.01089573e+00, null, null, null, null, null, null, null, null, null, 9.03513870e+01, 8.96182556e+01, -9.85393490e-05, 9.50586284e-04, null, null, 8.67284705e-13, 3.41032028e-05, -4.88033129e-06, 1.00680557e-03, -1.16426512e-04, 1.00005115e-03, 1.77678410e-11, -4.82179985e-06, 3.37521960e-05, 9.80550540e-04, -9.72775801e-04, 1.23233971e-04, 8.90742514e-12, 3.38052414e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.43174881e-16, 1.97282690e-03, -8.90742514e-12, 1.77678410e-11, -1.97282690e-03, 6.80745870e-06, 6.43174881e-16, 9.58477813e-07, -9.57633688e-07, 1.97282690e-03, 1.97282690e-03, -1.08420217e-19, 9.79012926e-04, 3.26119866e-20, 9.79012926e-04, 0.00000000e+00, 0.00000000e+00, -9.79012926e-04, 9.79012926e-04, 9.79012926e-04, -6.86221609e-12, 1.65951523e-11, -9.79012926e-04, 6.54583982e-06, null, null, null, null, null, null, 8.52561474e-01, 5.71986139e-01, 4.99999942e-03
2, 9.24116433e-01, 4.99114364e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200073e+02, 3, 8.72546195e-07, 3.62762594e+00, 1.01107395e+00, null, null, null, null, null, null, null, null, null, 9.06659012e+01, 8.93013077e+01, -9.53151321e-05, 1.04895106e-03, null, null, 9.20528627e-13, 9.76839146e-05, -8.54190803e-05, 9.64431267e-04, -1.42728575e-04, 9.53811395e-04, 8.85740700e-12, -8.53664606e-05, -4.73891123e-05, 1.03150320e-03, -1.02186634e-03, 1.40670119e-04, 0.00000000e+00, -4.74202207e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.19744662e-16, 1.97567767e-03, 0.00000000e+00, 8.85740700e-12, -1.97567767e-03, -2.05845572e-06, -4.19744662e-16, 9.54590064e-07, -9.54287998e-07, 1.97567767e-03, 1.97567767e-03, 0.00000000e+00, 9.77030722e-04, 3.22171080e-20, 9.77030722e-04, 0.00000000e+00, 0.00000000e+00, -9.77030722e-04, 9.77030722e-04, 9.77030722e-04, 1.27526299e-12, 9.26385964e-12, -9.77030722e-04, 6.54136147e-06, null, null, null, null, null, null, 9.24116433e-01, 4.99114364e-01, 4.99999942e-03
3, 8.51336122e-01, 4.26857829e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200012e+02, 4, 7.62898310e-07, 3.62484193e+00, 1.00832427e+00, null, null, null, null, null, null, null, null, null, 9.07050323e+01, 8.94904633e+01, -8.70254808e-05, 1.26073568e-03, null, null, 9.59737281e-13, 1.45417216e-04, -1.44284553e-04, 9.55455529e-04, -1.06221589e-04, 9.49532667e-04, -8.94867166e-12, -1.44320744e-04, 1.81145315e-05, 1.03123055e-03, -1.02575449e-03, 1.06132728e-04, 0.00000000e+00, 1.81429459e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.62100996e-16, 1.97528722e-03, 0.00000000e+00, -8.94867166e-12, -1.97528722e-03, -8.88612703e-08, -1.62100996e-16, 9.62713784e-07, -9.62703780e-07, 1.97528722e-03, 1.97528722e-03, 0.00000000e+00, 9.81179764e-04, 3.30466797e-20, 9.81179764e-04, 0.00000000e+00, 0.00000000e+00, -9.81179764e-04, 9.81179764e-04, 9.81179764e-04, -9.67964099e-13, -9.35520671e-12, -9.81179764e-04, 6.52867129e-06, null, null, null, null, null, null, 8.51336122e-01, 4.26857829e-01, 4.99999942e-03
4, 7.79620647e-01, 5.00127375e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200073e+02, 5, 7.88398438e-07, 3.61934805e+00, 1.00515139e+00, null, null, null, null, null, null, null, null, null, 9.01255569e+01, 8.97098160e+01, -9.04916087e-05, 1.14428275e-03, null, null, 9.01102326e-13, 1.19528726e-04, -6.69717701e-05, 9.67100204e-04, -9.75396470e-05, 9.62168793e-04, 8.87715856e-12, -6.69900546e-05, 9.90045301e-05, 1.02661760e-03, -1.02194108e-03, 9.78784883e-05, 2.25233227e-14, 9.89718465e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.80387305e-16, 1.98410987e-03, -2.25233227e-14, 8.87715856e-12, -1.98410987e-03, 3.38841346e-07, 8.80387305e-16, 9.73732767e-07, -9.73698093e-07, 1.98410987e-03, 1.98410987e-03, 3.61444840e-20, 9.86778992e-04, 3.41944478e-20, 9.86778992e-04, 0.00000000e+00, 0.00000000e+00, -9.86778992e-04, 9.86778992e-04, 9.86778992e-04, 8.58562678e-13, 9.19125366e-12, -9.86778992e-04, 6.53022244e-06, null, null, null, null, null, null, 7.79620647e-01, 5.00127375e-01, 4.99999942e-03
5, 7.80316353e-01, 5.72478712e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98199951e+02, 6, 8.04806064e-07, 3.63876200e+00, 1.01063120e+00, null, null, null, null, null, null, null, null, null, 9.01602783e+01, 8.97206955e+01, -9.35631542e-05, 1.07051095e-03, null, null, 8.61086159e-13, 1.05168401e-04, 3.29574777e-06, 9.92388697e-04, -8.18641056e-05, 9.89006367e-04, 8.83800498e-12, 3.34620881e-06, 1.05116749e-04, 1.00360659e-03, -1.00011600e-03, 8.36312538e-05, -1.77986913e-11, 1.05080384e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.87682345e-16, 1.98912248e-03, 1.77986913e-11, 8.83800498e-12, -1.98912248e-03, 1.76714821e-06, 9.87682345e-16, 9.82274628e-07, -9.82126608e-07, 1.98912248e-03, 1.98912248e-03, 3.61047794e-20, 9.91097302e-04, 3.51022332e-20, 9.91097302e-04, 0.00000000e+00, 0.00000000e+00, -9.91097302e-04, 9.91097302e-04, 9.91097302e-04, 1.85068974e-11, 1.03885815e-11, -9.91097302e-04, 6.53406323e-06, null, null, null, null, null, null, 7.80316353e-01, 5.72478712e-01, 4.99999942e-03
6, 9.24885452e-01, 5.71286976e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200073e+02, 7, 7.85609245e-07, 3.62246370e+00, 1.00314450e+00, null, null, null, null, null, null, null, null, null, 9.01857529e+01, 8.96610641e+01, -9.85321094e-05, 9.63115541e-04, null, null, 8.79976051e-13, 3.94516501e-05, -1.43016559e-05, 1.01513916e-03, -1.64729703e-04, 1.00168446e-03, 1.77200997e-11, -1.42888557e-05, -3.67681278e-05, 1.00294419e-03, -9.88399028e-04, 1.70189873e-04, 8.86756207e-12, -3.67769971e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.24714041e-16, 1.99008361e-03, -8.86756207e-12, 1.77200997e-11, -1.99008361e-03, 5.46016963e-06, -5.24714041e-16, 9.62028707e-07, -9.61098635e-07, 1.99008361e-03, 1.99008361e-03, -3.62106585e-20, 9.80826793e-04, 3.29759138e-20, 9.80826793e-04, 0.00000000e+00, 0.00000000e+00, -9.80826793e-04, 9.80826793e-04, 9.80826793e-04, -5.98135387e-12, 1.63674716e-11, -9.80826793e-04, 6.52299605e-06, null, null, null, null, null, null, 9.24885452e-01, 5.71286976e-01, 4.99999942e-03
7, 9.23669577e-01, 4.26563203e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200012e+02, 8, 7.61655997e-07, 3.62762880e+00, 1.00714576e+00, null, null, null, null, null, null, null, null, null, 9.05903931e+01, 8.93962784e+01, -8.69419164e-05, 1.30684790e-03, null, null, 9.92923625e-13, 1.62700162e-04, -1.52644352e-04, 9.37538571e-04, -1.18441320e-04, 9.30026988e-04, 1.76532122e-11, -1.52700086e-04, -5.63120047e-05, 1.04056858e-03, -1.03394117e-03, 1.17254865e-04, -1.77753853e-11, -5.63194844e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.70739968e-15, 1.96396816e-03, 1.77753853e-11, 1.76532122e-11, -1.96396816e-03, -1.18645403e-06, -3.70739968e-15, 9.47705360e-07, -9.47551882e-07, 1.96396816e-03, 1.96396816e-03, 0.00000000e+00, 9.73501417e-04, 3.15250713e-20, 9.73501417e-04, 0.00000000e+00, 0.00000000e+00, -9.73501417e-04, 9.73501417e-04, 9.73501417e-04, 1.91078368e-11, 2.09118504e-11, -9.73501417e-04, 6.53965935e-06, null, null, null, null, null, null, 9.23669577e-01, 4.26563203e-01, 4.99999942e-03
8, 7.79209614e-01, 4.27744180e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200073e+02, 9, 6.73848888e-07, 3.63222003e+00, 1.00544739e+00, null, null, null, null, null, null, null, null, null, 9.05255203e+01, 8.91786194e+01, -8.22742368e-05, 1.42028870e-03, null, null, 9.52079453e-13, 1.64833808e-04, -1.36489922e-04, 9.80855082e-04, -8.33343147e-05, 9.77308606e-04, 0.00000000e+00, -1.36478993e-04, 9.24158303e-05, 1.05208321e-03, -1.04876654e-03, 8.34728999e-05, -8.81176642e-12, 9.24599881e-05, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.20271733e-15, 2.02607503e-03, 8.81176642e-12, 0.00000000e+00, -2.02607503e-03, 1.38585165e-07, -1.20271733e-15, 1.01801243e-06, -1.01799981e-06, 2.02607503e-03, 2.02607503e-03, 0.00000000e+00, 1.00896601e-03, 3.90746809e-20, 1.00896601e-03, 0.00000000e+00, 0.00000000e+00, -1.00896601e-03, 1.00896601e-03, 1.00896601e-03, 8.53528793e-12, 7.27797054e-13, -1.00896601e-03, 6.51406071e-06, null, null, null, null, null, null, 7.79209614e-01, 4.27744180e-01, 4.99999942e-03
9, 7.07968056e-01, 5.72698712e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200012e+02, 10, 6.10659811e-07, 3.60957909e+00, 1.00833106e+00, null, null, null, null, null, null, null, null, null, 9.08472900e+01, 8.92167740e+01, -8.36199761e-05, 1.41928287e-03, null, null, 8.61281857e-13, 1.80209288e-04, 9.03414730e-06, 9.65865096e-04, -6.56238553e-05, 9.63633182e-04, 1.76956175e-11, 9.03879118e-06, 1.79982701e-04, 1.08207273e-03, -1.08003931e-03, 6.63062092e-05, 0.00000000e+00, 1.80037008e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.18490508e-15, 2.04367237e-03, 0.00000000e+00, 1.76956175e-11, -2.04367237e-03, 6.82353857e-07, 3.18490508e-15, 1.03641048e-06, -1.03635023e-06, 2.04367237e-03, 2.04367237e-03, -3.61312492e-20, 1.01804244e-03, 4.12317288e-20, 1.01804244e-03, 0.00000000e+00, 0.00000000e+00, -1.01804244e-03, 1.01804244e-03, 1.01804244e-03, 1.15253477e-12, 1.87732468e-11, -1.01804244e-03, 6.48341893e-06, null, null, null, null, null, null, 7.07968056e-01, 5.72698712e-01, 4.99999942e-03
