
[Name]
moving_wall

[Data]
Node Number, X [ m ], Y [ m ], Z [ m ], Approximated Mass Flow [ kg s^-1 ], Area [ m^2 ], Connectivity Number, Density [ kg m^-3 ], Domain Node Number [  ], Eddy Viscosity [ Pa s ], Edge Length Ratio, Element Volume Ratio, Force [ N ], Force X [ N ], Force Y [ N ], Force Z [ N ], Heat Flux [ W m^-2 ], Interpolated Mass Flow [ kg s^-1 ], Length [ m ], Mass Flow [ kg s^-1 ], Mass Flux [ kg s^-1 m^-2 ], Maximum Face Angle [ degree ], Minimum Face Angle [ degree ], Normal, Normal X, Normal Y, Normal Z, Pressure [ Pa ], Specific Dissipation Rate [ s^-1 ], Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity u.Gradient [ s^-1 ], Velocity u.Gradient X [ s^-1 ], Velocity u.Gradient Y [ s^-1 ], Velocity u.Gradient Z [ s^-1 ], Velocity u_Scalar [ m s^-1 ], Velocity v [ m s^-1 ], Velocity v.Gradient [ s^-1 ], Velocity v.Gradient X [ s^-1 ], Velocity v.Gradient Y [ s^-1 ], Velocity v.Gradient Z [ s^-1 ], Velocity v_Scalar [ m s^-1 ], Velocity w [ m s^-1 ], Velocity w.Gradient [ s^-1 ], Velocity w.Gradient X [ s^-1 ], Velocity w.Gradient Y [ s^-1 ], Velocity w.Gradient Z [ s^-1 ], Velocity.Absolute Helicity [ m s^-2 ], Velocity.Curl [ s^-1 ], Velocity.Curl X [ s^-1 ], Velocity.Curl Y [ s^-1 ], Velocity.Curl Z [ s^-1 ], Velocity.Divergence [ s^-1 ], Velocity.Helicity [ m s^-2 ], Velocity.Invariant Q [ s^-2 ], Velocity.Lambda 2 [ s^-2 ], Velocity.Normal Eigen Helicity [ s^-1 ], Velocity.Real Eigen Helicity [ s^-1 ], Velocity.Real Eigenvalue [ s^-1 ], Velocity.Stretched Swirling Strength, Velocity.Swirling Discriminant [ s^-6 ], Velocity.Swirling Normal [ s^-1 ], Velocity.Swirling Normal X [ s^-1 ], Velocity.Swirling Normal Y [ s^-1 ], Velocity.Swirling Normal Z [ s^-1 ], Velocity.Swirling Strength [ s^-1 ], Velocity.Swirling Vector [ s^-1 ], Velocity.Swirling Vector X [ s^-1 ], Velocity.Swirling Vector Y [ s^-1 ], Velocity.Swirling Vector Z [ s^-1 ], Volume [ m^3 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ], Wall Yplus, Wall Ystar, X [ m ], Y [ m ], Z [ m ]
0, 1.28097749e+00, 1.00000000e+00, 4.99999942e-03, null, 1.78571034e-04, 2.00000000e+00, 9.98200012e+02, 786, 7.47763515e-01, 3.57705283e+00, 1.00031614e+00, 7.33963912e-03, -1.97588722e-03, 7.06867548e-03, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.02516708e+01, 8.97483368e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 3.95846710e+01, 9.05145721e+01, 3.39030772e-02, 3.00000000e+00, 3.00000000e+00, 2.68873806e+01, -1.52126753e+00, 2.68443108e+01, 1.74494460e-06, 3.00000000e+00, 0.00000000e+00, 2.69956160e+00, -1.63815117e+00, 2.14571524e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.84824619e+01, 0.00000000e+00, 1.74494460e-06, -2.84824619e+01, 6.24447703e-01, 0.00000000e+00, 4.07108345e+01, -3.25630569e+01, 2.84824619e+01, 2.84824619e+01, 5.82867088e-16, 6.37286043e+00, 2.49301563e+03, 6.37286043e+00, 0.00000000e+00, 0.00000000e+00, -6.37286043e+00, 6.37286043e+00, 6.37286043e+00, 5.86108683e-07, 4.47466022e-07, -6.37286043e+00, 0.00000000e+00, 1.10649929e+01, -1.10649929e+01, 0.00000000e+00, 0.00000000e+00, 1.87208887e+03, 1.80608289e+03, 1.28097749e+00, 1.00000000e+00, 4.99999942e-03
1, 1.28097749e+00, 1.00000000e+00, -4.99999942e-03, null, 1.78571034e-04, 2.00000000e+00, 9.98200012e+02, 1627, 7.47763515e-01, 3.57705283e+00, 1.00031614e+00, 7.33963912e-03, -1.97588722e-03, 7.06867548e-03, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.02516708e+01, 8.97483368e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 3.95846710e+01, 9.05145721e+01, 3.39030772e-02, 3.00000000e+00, 3.00000000e+00, 2.68873806e+01, -1.52126753e+00, 2.68443108e+01, 1.74494460e-06, 3.00000000e+00, 0.00000000e+00, 2.69956160e+00, -1.63815117e+00, 2.14571524e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.84824619e+01, 0.00000000e+00, 1.74494460e-06, -2.84824619e+01, 6.24447703e-01, 0.00000000e+00, 4.07108345e+01, -3.25630569e+01, 2.84824619e+01, 2.84824619e+01, 5.82867088e-16, 6.37286043e+00, 2.49301563e+03, 6.37286043e+00, 0.00000000e+00, 0.00000000e+00, -6.37286043e+00, 6.37286043e+00, 6.37286043e+00, 5.86108683e-07, 4.47466022e-07, -6.37286043e+00, 0.00000000e+00, 1.10649929e+01, -1.10649929e+01, 0.00000000e+00, 0.00000000e+00, 1.87208887e+03, 1.80608289e+03, 1.28097749e+00, 1.00000000e+00, -4.99999942e-03
2, 1.24526322e+00, 1.00000000e+00, -4.99999942e-03, null, 1.78571616e-04, 2.00000000e+00, 9.98200012e+02, 1582, 7.33473182e-01, 3.57431579e+00, 1.00078332e+00, 2.69919843e-03, -1.86919456e-03, -1.94725033e-03, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.04135208e+01, 8.95864792e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, -1.09045906e+01, 8.88649445e+01, 3.26448232e-02, 3.00000000e+00, 3.00000000e+00, 2.63788509e+01, -1.49205756e+00, 2.63366184e+01, 4.33846822e-07, 3.00000000e+00, 0.00000000e+00, 1.47583997e+00, -8.67025793e-01, 1.19430733e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.72036438e+01, 0.00000000e+00, 4.33846822e-07, -2.72036438e+01, -2.97750235e-01, 0.00000000e+00, 2.10525532e+01, -1.71954041e+01, 2.72036438e+01, 2.72036438e+01, -4.44089210e-16, 4.58589029e+00, 3.45217682e+02, 4.58589029e+00, 0.00000000e+00, 0.00000000e+00, -4.58589029e+00, 4.58589029e+00, 4.58589029e+00, 1.12868157e-07, 8.19383743e-08, -4.58589029e+00, 0.00000000e+00, 1.04674788e+01, -1.04674788e+01, 0.00000000e+00, 0.00000000e+00, 1.82040479e+03, 1.77158997e+03, 1.24526322e+00, 1.00000000e+00, -4.99999942e-03
3, 1.24526322e+00, 1.00000000e+00, 4.99999942e-03, null, 1.78571616e-04, 2.00000000e+00, 9.98200012e+02, 741, 7.33473182e-01, 3.57431579e+00, 1.00078332e+00, 2.69919843e-03, -1.86919456e-03, -1.94725033e-03, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.04135208e+01, 8.95864792e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, -1.09045906e+01, 8.88649445e+01, 3.26448232e-02, 3.00000000e+00, 3.00000000e+00, 2.63788509e+01, -1.49205756e+00, 2.63366184e+01, 4.33846822e-07, 3.00000000e+00, 0.00000000e+00, 1.47583997e+00, -8.67025793e-01, 1.19430733e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.72036438e+01, 0.00000000e+00, 4.33846822e-07, -2.72036438e+01, -2.97750235e-01, 0.00000000e+00, 2.10525532e+01, -1.71954041e+01, 2.72036438e+01, 2.72036438e+01, -4.44089210e-16, 4.58589029e+00, 3.45217682e+02, 4.58589029e+00, 0.00000000e+00, 0.00000000e+00, -4.58589029e+00, 4.58589029e+00, 4.58589029e+00, 1.12868157e-07, 8.19383743e-08, -4.58589029e+00, 0.00000000e+00, 1.04674788e+01, -1.04674788e+01, 0.00000000e+00, 0.00000000e+00, 1.82040479e+03, 1.77158997e+03, 1.24526322e+00, 1.00000000e+00, 4.99999942e-03
4, 1.20954895e+00, 1.00000000e+00, 4.99999942e-03, null, 1.78570728e-04, 2.00000000e+00, 9.98200012e+02, 787, 7.25783646e-01, 3.57160759e+00, 1.00024402e+00, 8.62772018e-03, -1.82521821e-03, -8.43244512e-03, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.05756302e+01, 8.94243698e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, -4.72218781e+01, 8.81122437e+01, 3.20284516e-02, 3.00000000e+00, 3.00000000e+00, 2.59443169e+01, -7.74049461e-01, 2.59327660e+01, 1.17129969e-06, 3.00000000e+00, 0.00000000e+00, 7.86777794e-01, -3.86450052e-01, 6.85328841e-01, -9.13961262e-09, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.74188388e-08, 2.63192158e+01, 9.13961262e-09, 1.17129969e-06, -2.63192158e+01, -8.87206197e-02, 2.74188388e-08, 9.49124050e+00, -8.35221481e+00, 2.63192158e+01, 2.63192158e+01, -1.49186219e-16, 3.08046627e+00, 3.16603050e+01, 3.08046627e+00, 0.00000000e+00, 0.00000000e+00, -3.08046627e+00, 3.08046627e+00, 3.08046627e+00, 3.37457152e-07, 1.49207295e-07, -3.08046627e+00, 0.00000000e+00, 1.02212620e+01, -1.02212620e+01, 0.00000000e+00, 0.00000000e+00, 1.79711389e+03, 1.75313940e+03, 1.20954895e+00, 1.00000000e+00, 4.99999942e-03
5, 1.20954895e+00, 1.00000000e+00, -4.99999942e-03, null, 1.78570728e-04, 2.00000000e+00, 9.98200012e+02, 1628, 7.25783646e-01, 3.57160759e+00, 1.00024402e+00, 8.62772018e-03, -1.82521821e-03, -8.43244512e-03, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.05756302e+01, 8.94243698e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, -4.72218781e+01, 8.81122437e+01, 3.20284516e-02, 3.00000000e+00, 3.00000000e+00, 2.59443169e+01, -7.74049461e-01, 2.59327660e+01, 1.17129969e-06, 3.00000000e+00, 0.00000000e+00, 7.86777794e-01, -3.86450052e-01, 6.85328841e-01, -9.13961262e-09, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.74188388e-08, 2.63192158e+01, 9.13961262e-09, 1.17129969e-06, -2.63192158e+01, -8.87206197e-02, 2.74188388e-08, 9.49124050e+00, -8.35221481e+00, 2.63192158e+01, 2.63192158e+01, -1.49186219e-16, 3.08046627e+00, 3.16603050e+01, 3.08046627e+00, 0.00000000e+00, 0.00000000e+00, -3.08046627e+00, 3.08046627e+00, 3.08046627e+00, 3.37457152e-07, 1.49207295e-07, -3.08046627e+00, 0.00000000e+00, 1.02212620e+01, -1.02212620e+01, 0.00000000e+00, 0.00000000e+00, 1.79711389e+03, 1.75313940e+03, 1.20954895e+00, 1.00000000e+00, -4.99999942e-03
6, 1.17383468e+00, 1.00000000e+00, -4.99999942e-03, null, 1.78571921e-04, 2.00000000e+00, 9.98200012e+02, 1581, 7.20049262e-01, 3.57142735e+00, 1.00252128e+00, 1.26489317e-02, -1.79519586e-03, -1.25208925e-02, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.05770798e+01, 8.94229202e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, -7.01168060e+01, 8.77441559e+01, 3.16425562e-02, 3.00000000e+00, 3.00000000e+00, 2.56508484e+01, -5.28604090e-01, 2.56454010e+01, 1.44861554e-06, 3.00000000e+00, 0.00000000e+00, 4.79548752e-01, -1.88873067e-01, 4.40787911e-01, -9.04357211e-09, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.71307172e-08, 2.58342743e+01, 9.04357211e-09, 1.44861554e-06, -2.58342743e+01, -8.78161788e-02, 2.71307172e-08, 4.61072350e+00, -3.48830986e+00, 2.58342743e+01, 2.58342743e+01, -1.49186219e-16, 2.14681053e+00, 3.62878942e+00, 2.14681053e+00, 0.00000000e+00, 0.00000000e+00, -2.14681053e+00, 2.14681053e+00, 2.14681053e+00, 4.05296248e-07, 1.29619508e-07, -2.14681053e+00, 0.00000000e+00, 1.00530691e+01, -1.00530691e+01, 0.00000000e+00, 0.00000000e+00, 1.77899658e+03, 1.73936865e+03, 1.17383468e+00, 1.00000000e+00, -4.99999942e-03
7, 1.17383468e+00, 1.00000000e+00, 4.99999942e-03, null, 1.78571921e-04, 2.00000000e+00, 9.98200012e+02, 740, 7.20049262e-01, 3.57142735e+00, 1.00252128e+00, 1.26489317e-02, -1.79519586e-03, -1.25208925e-02, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.05770798e+01, 8.94229202e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, -7.01168060e+01, 8.77441559e+01, 3.16425562e-02, 3.00000000e+00, 3.00000000e+00, 2.56508484e+01, -5.28604090e-01, 2.56454010e+01, 1.44861554e-06, 3.00000000e+00, 0.00000000e+00, 4.79548752e-01, -1.88873067e-01, 4.40787911e-01, -9.04357211e-09, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.71307172e-08, 2.58342743e+01, 9.04357211e-09, 1.44861554e-06, -2.58342743e+01, -8.78161788e-02, 2.71307172e-08, 4.61072350e+00, -3.48830986e+00, 2.58342743e+01, 2.58342743e+01, -1.49186219e-16, 2.14681053e+00, 3.62878942e+00, 2.14681053e+00, 0.00000000e+00, 0.00000000e+00, -2.14681053e+00, 2.14681053e+00, 2.14681053e+00, 4.05296248e-07, 1.29619508e-07, -2.14681053e+00, 0.00000000e+00, 1.00530691e+01, -1.00530691e+01, 0.00000000e+00, 0.00000000e+00, 1.77899658e+03, 1.73936865e+03, 1.17383468e+00, 1.00000000e+00, 4.99999942e-03
8, 1.31669176e+00, 1.00000000e+00, 4.99999942e-03, null, 1.78571921e-04, 2.00000000e+00, 9.98200012e+02, 742, 6.93213999e-01, 3.57423139e+00, 1.00078177e+00, 2.08078735e-02, -1.90496771e-03, 2.07204893e-02, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.01259308e+01, 8.98740692e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.16034424e+02, 8.52815399e+01, 3.02815344e-02, 3.00000000e+00, 3.00000000e+00, 2.58707581e+01, -3.12566257e+00, 2.56812439e+01, 1.16509591e-06, 3.00000000e+00, 0.00000000e+00, 3.03352714e+00, -7.82733619e-01, 2.93080449e+00, 7.27006864e-08, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.18102059e-07, 2.64639778e+01, -7.27006864e-08, 1.16509591e-06, -2.64639778e+01, -1.94858074e-01, -2.18102059e-07, 1.09408665e+01, -8.42530918e+00, 2.64639778e+01, 2.64639778e+01, -6.93889390e-17, 3.30626297e+00, 4.84634705e+01, 3.30626297e+00, 0.00000000e+00, 0.00000000e+00, -3.30626297e+00, 3.30626297e+00, 3.30626297e+00, 4.67682554e-07, 2.06918770e-07, -3.30626297e+00, 0.00000000e+00, 1.06677895e+01, -1.06677895e+01, 0.00000000e+00, 0.00000000e+00, 1.83648450e+03, 1.70351001e+03, 1.31669176e+00, 1.00000000e+00, 4.99999942e-03
9, 1.31669176e+00, 1.00000000e+00, -4.99999942e-03, null, 1.78571921e-04, 2.00000000e+00, 9.98200012e+02, 1583, 6.93213999e-01, 3.57423139e+00, 1.00078177e+00, 2.08078735e-02, -1.90496771e-03, 2.07204893e-02, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.01259308e+01, 8.98740692e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.16034424e+02, 8.52815399e+01, 3.02815344e-02, 3.00000000e+00, 3.00000000e+00, 2.58707581e+01, -3.12566257e+00, 2.56812439e+01, 1.16509591e-06, 3.00000000e+00, 0.00000000e+00, 3.03352714e+00, -7.82733619e-01, 2.93080449e+00, 7.27006864e-08, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.18102059e-07, 2.64639778e+01, -7.27006864e-08, 1.16509591e-06, -2.64639778e+01, -1.94858074e-01, -2.18102059e-07, 1.09408665e+01, -8.42530918e+00, 2.64639778e+01, 2.64639778e+01, -6.93889390e-17, 3.30626297e+00, 4.84634705e+01, 3.30626297e+00, 0.00000000e+00, 0.00000000e+00, -3.30626297e+00, 3.30626297e+00, 3.30626297e+00, 4.67682554e-07, 2.06918770e-07, -3.30626297e+00, 0.00000000e+00, 1.06677895e+01, -1.06677895e+01, 0.00000000e+00, 0.00000000e+00, 1.83648450e+03, 1.70351001e+03, 1.31669176e+00, 1.00000000e+00, -4.99999942e-03
