
[Name]
surface_body

[Data]
Node Number, X [ m ], Y [ m ], Z [ m ], Approximated Mass Flow [ kg s^-1 ], Connectivity Number, Density [ kg m^-3 ], Domain Node Number [  ], Eddy Viscosity [ Pa s ], Edge Length Ratio, Element Volume Ratio, Force [ N ], Force X [ N ], Force Y [ N ], Force Z [ N ], Heat Flux [ W m^-2 ], Interpolated Mass Flow [ kg s^-1 ], Length [ m ], Mass Flow [ kg s^-1 ], Mass Flux [ kg s^-1 m^-2 ], Maximum Face Angle [ degree ], Minimum Face Angle [ degree ], Pressure [ Pa ], Specific Dissipation Rate [ s^-1 ], Streamline Number on Streamline 1, Time on Streamline 1 [ s ], Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity u.Gradient [ s^-1 ], Velocity u.Gradient X [ s^-1 ], Velocity u.Gradient Y [ s^-1 ], Velocity u.Gradient Z [ s^-1 ], Velocity u_Scalar [ m s^-1 ], Velocity v [ m s^-1 ], Velocity v.Gradient [ s^-1 ], Velocity v.Gradient X [ s^-1 ], Velocity v.Gradient Y [ s^-1 ], Velocity v.Gradient Z [ s^-1 ], Velocity v_Scalar [ m s^-1 ], Velocity w [ m s^-1 ], Velocity w.Gradient [ s^-1 ], Velocity w.Gradient X [ s^-1 ], Velocity w.Gradient Y [ s^-1 ], Velocity w.Gradient Z [ s^-1 ], Velocity.Absolute Helicity [ m s^-2 ], Velocity.Curl [ s^-1 ], Velocity.Curl X [ s^-1 ], Velocity.Curl Y [ s^-1 ], Velocity.Curl Z [ s^-1 ], Velocity.Divergence [ s^-1 ], Velocity.Helicity [ m s^-2 ], Velocity.Invariant Q [ s^-2 ], Velocity.Lambda 2 [ s^-2 ], Velocity.Normal Eigen Helicity [ s^-1 ], Velocity.Real Eigen Helicity [ s^-1 ], Velocity.Real Eigenvalue [ s^-1 ], Velocity.Stretched Swirling Strength, Velocity.Swirling Discriminant [ s^-6 ], Velocity.Swirling Normal [ s^-1 ], Velocity.Swirling Normal X [ s^-1 ], Velocity.Swirling Normal Y [ s^-1 ], Velocity.Swirling Normal Z [ s^-1 ], Velocity.Swirling Strength [ s^-1 ], Velocity.Swirling Vector [ s^-1 ], Velocity.Swirling Vector X [ s^-1 ], Velocity.Swirling Vector Y [ s^-1 ], Velocity.Swirling Vector Z [ s^-1 ], Volume [ m^3 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ], Wall Yplus, Wall Ystar, X [ m ], Y [ m ], Z [ m ]
0, 8.51582348e-01, 4.99354273e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200012e+02, 1, 1.41100764e+00, 3.63192534e+00, 1.00746739e+00, null, null, null, null, null, null, null, null, null, 9.04208527e+01, 8.94172134e+01, -2.30209923e+01, 3.66216272e-01, null, null, 5.17665991e-04, 3.65285808e-03, -2.51674093e-04, 2.93792874e-01, -4.07297956e-03, 2.93764651e-01, 0.00000000e+00, -2.54159939e-04, 3.64417769e-03, 2.95208335e-01, -2.95156091e-01, 5.55289909e-03, -4.52994353e-09, 3.66126257e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.14006948e-12, 5.88920712e-01, 4.52994353e-09, 0.00000000e+00, -5.88920712e-01, 1.47991953e-03, -1.14006948e-12, 8.66838098e-02, -8.66755173e-02, 5.88920712e-01, 5.88920712e-01, -9.21571847e-18, 2.94420213e-01, 2.41238959e-05, 2.94420213e-01, 0.00000000e+00, 0.00000000e+00, -2.94420213e-01, 2.94420213e-01, 2.94420213e-01, 4.51982851e-09, 6.26663860e-11, -2.94420213e-01, 6.55091662e-06, null, null, null, null, null, null, 8.51582348e-01, 4.99354273e-01, 4.99999942e-03
1, 8.52561474e-01, 5.71986139e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200012e+02, 2, 1.38002324e+00, 3.63192225e+00, 1.01089573e+00, null, null, null, null, null, null, null, null, null, 9.03513870e+01, 8.96182556e+01, -2.28010349e+01, 3.83301318e-01, null, null, 5.29799436e-04, 2.15688255e-02, 2.12358795e-02, 3.01395267e-01, -5.53703541e-03, 3.01344395e-01, -2.26893748e-09, 2.12515425e-02, 3.77514167e-03, 2.88547754e-01, -2.88495272e-01, 5.50386170e-03, -2.28030084e-09, 3.78901884e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.98586338e-11, 5.89839697e-01, 2.28030084e-09, -2.26893748e-09, -5.89839697e-01, -3.31737101e-05, 3.98586338e-11, 8.69059637e-02, -8.69056731e-02, 5.89839697e-01, 5.89839697e-01, -1.85042818e-17, 2.94798166e-01, 2.43099967e-05, 2.94798166e-01, 0.00000000e+00, 0.00000000e+00, -2.94798166e-01, 2.94798166e-01, 2.94798166e-01, 2.28857577e-09, -2.17759721e-09, -2.94798166e-01, 6.54583982e-06, null, null, null, null, null, null, 8.52561474e-01, 5.71986139e-01, 4.99999942e-03
2, 9.24116433e-01, 4.99114364e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200073e+02, 3, 1.39366293e+00, 3.62762594e+00, 1.01107395e+00, null, null, null, null, null, null, null, null, null, 9.06659012e+01, 8.93013077e+01, -2.28701096e+01, 3.77356470e-01, null, null, 5.26789518e-04, 1.80071406e-02, -6.79149642e-04, 2.85839885e-01, -4.63159150e-03, 2.85802364e-01, 2.26749619e-09, -6.61928323e-04, -1.79943293e-02, 3.04487228e-01, -3.04447263e-01, 4.93340101e-03, -2.25555863e-09, -1.80059057e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.23339350e-11, 5.90249658e-01, 2.25555863e-09, 2.26749619e-09, -5.90249658e-01, 3.01809516e-04, -4.23339350e-11, 8.69888961e-02, -8.69856924e-02, 5.90249658e-01, 5.90249658e-01, 1.84991996e-17, 2.94938773e-01, 2.43796585e-05, 2.94938773e-01, 0.00000000e+00, 0.00000000e+00, -2.94938773e-01, 2.94938773e-01, 2.94938773e-01, 2.22361507e-09, 2.37601738e-09, -2.94938773e-01, 6.54136147e-06, null, null, null, null, null, null, 9.24116433e-01, 4.99114364e-01, 4.99999942e-03
3, 8.51336122e-01, 4.26857829e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200012e+02, 4, 1.39986289e+00, 3.62484193e+00, 1.00832427e+00, null, null, null, null, null, null, null, null, null, 9.07050323e+01, 8.94904633e+01, -2.27862415e+01, 3.86274189e-01, null, null, 5.41624206e-04, 2.20060796e-02, -2.17300355e-02, 3.01104367e-01, -2.96501420e-03, 3.01089764e-01, 2.16315490e-11, -2.17427090e-02, 3.47463833e-03, 2.88095325e-01, -2.88081795e-01, 2.79130810e-03, 0.00000000e+00, 3.48377577e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.51618074e-14, 5.89171529e-01, 0.00000000e+00, 2.16315490e-11, -5.89171529e-01, -1.73706096e-04, 7.51618074e-14, 8.67302045e-02, -8.67289528e-02, 5.89171529e-01, 5.89171529e-01, 9.24959978e-18, 2.94499904e-01, 2.41628022e-05, 2.94499904e-01, 0.00000000e+00, 0.00000000e+00, -2.94499904e-01, 2.94499904e-01, 2.94499904e-01, 2.05026588e-13, 2.11601240e-11, -2.94499904e-01, 6.52867129e-06, null, null, null, null, null, null, 8.51336122e-01, 4.26857829e-01, 4.99999942e-03
4, 7.79620647e-01, 5.00127375e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200073e+02, 5, 1.38922107e+00, 3.61934805e+00, 1.00515139e+00, null, null, null, null, null, null, null, null, null, 9.01255569e+01, 8.97098160e+01, -2.27195377e+01, 3.93450439e-01, null, null, 5.47442469e-04, 2.50827502e-02, 3.05463793e-04, 2.88648576e-01, -5.13335643e-03, 2.88602918e-01, 6.82533363e-09, 3.00780142e-04, 2.50808895e-02, 3.01158309e-01, -3.01114380e-01, 5.14370669e-03, 4.54600668e-09, 2.50715781e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.69796802e-10, 5.89717269e-01, -4.54600668e-09, 6.82533363e-09, -5.89717269e-01, 1.03502534e-05, 1.69796802e-10, 8.68760869e-02, -8.68759975e-02, 5.89717269e-01, 5.89717269e-01, 0.00000000e+00, 2.94747502e-01, 2.42849346e-05, 2.94747502e-01, 0.00000000e+00, 0.00000000e+00, -2.94747502e-01, 2.94747502e-01, 2.94747502e-01, -4.33212621e-09, 6.89359503e-09, -2.94747502e-01, 6.53022244e-06, null, null, null, null, null, null, 7.79620647e-01, 5.00127375e-01, 4.99999942e-03
5, 7.80316353e-01, 5.72478712e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98199951e+02, 6, 1.35674512e+00, 3.63876200e+00, 1.01063120e+00, null, null, null, null, null, null, null, null, null, 9.01602783e+01, 8.97206955e+01, -2.24893208e+01, 4.11795288e-01, null, null, 5.59443084e-04, 3.27363685e-02, 2.13485565e-02, 2.95976371e-01, 7.12644868e-03, 2.95890570e-01, 0.00000000e+00, 2.13649999e-02, 2.48175114e-02, 2.94564754e-01, -2.94475257e-01, -7.26061361e-03, -5.99040836e-13, 2.48050056e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.27886568e-14, 5.90365827e-01, 5.99040836e-13, 0.00000000e+00, -5.90365827e-01, -1.34164933e-04, 1.27886568e-14, 8.70807096e-02, -8.70797336e-02, 5.90365827e-01, 5.90365827e-01, 0.00000000e+00, 2.95094401e-01, 2.44569383e-05, 2.95094401e-01, 0.00000000e+00, 0.00000000e+00, -2.95094401e-01, 2.95094401e-01, 2.95094401e-01, 6.00657057e-13, -1.44666705e-14, -2.95094401e-01, 6.53406323e-06, null, null, null, null, null, null, 7.80316353e-01, 5.72478712e-01, 4.99999942e-03
6, 9.24885452e-01, 5.71286976e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200073e+02, 7, 1.36526930e+00, 3.62246370e+00, 1.00314450e+00, null, null, null, null, null, null, null, null, null, 9.01857529e+01, 8.96610641e+01, -2.26411686e+01, 3.93788993e-01, null, null, 5.38431399e-04, 2.65955552e-02, 2.01533865e-02, 2.93622494e-01, -1.96207017e-02, 2.92966217e-01, 4.53634552e-09, 2.01575886e-02, -1.73540935e-02, 2.98544884e-01, -2.97913253e-01, 1.94098577e-02, 2.27705255e-09, -1.73574556e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.24614485e-10, 5.90879440e-01, -2.27705255e-09, 4.53634552e-09, -5.90879440e-01, -2.10843980e-04, -1.24614485e-10, 8.68976787e-02, -8.68935138e-02, 5.90879440e-01, 5.90879440e-01, 0.00000000e+00, 2.94784099e-01, 2.43030499e-05, 2.94784099e-01, 0.00000000e+00, 0.00000000e+00, -2.94784099e-01, 2.94784099e-01, 2.94784099e-01, -1.96431738e-09, 4.43293846e-09, -2.94784099e-01, 6.52299605e-06, null, null, null, null, null, null, 9.24885452e-01, 5.71286976e-01, 4.99999942e-03
7, 9.23669577e-01, 4.26563203e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200012e+02, 8, 1.38324118e+00, 3.62762880e+00, 1.00714576e+00, null, null, null, null, null, null, null, null, null, 9.05903931e+01, 8.93962784e+01, -2.26258564e+01, 3.98603022e-01, null, null, 5.52210957e-04, 2.78275870e-02, -2.15232708e-02, 2.92976052e-01, 1.10472115e-02, 2.92767704e-01, 2.25961116e-09, -2.15411186e-02, -1.76386908e-02, 2.97035962e-01, -2.96820283e-01, -1.13174431e-02, 4.56343496e-09, -1.76382121e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.83634599e-11, 5.89587986e-01, -4.56343496e-09, 2.25961116e-09, -5.89587986e-01, -2.70231627e-04, 5.83634599e-11, 8.67743641e-02, -8.67712572e-02, 5.89587986e-01, 5.89587986e-01, -9.25637605e-18, 2.94574857e-01, 2.41997295e-05, 2.94574857e-01, 0.00000000e+00, 0.00000000e+00, -2.94574857e-01, 2.94574857e-01, 2.94574857e-01, -4.62225147e-09, 2.44797382e-09, -2.94574857e-01, 6.53965935e-06, null, null, null, null, null, null, 9.23669577e-01, 4.26563203e-01, 4.99999942e-03
8, 7.79209614e-01, 4.27744180e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200073e+02, 9, 1.37836754e+00, 3.63222003e+00, 1.00544739e+00, null, null, null, null, null, null, null, null, null, 9.05255203e+01, 8.91786194e+01, -2.24777260e+01, 4.14246351e-01, null, null, 5.71795565e-04, 3.20277773e-02, -2.07823850e-02, 2.95730770e-01, -1.72072407e-02, 2.95229733e-01, 4.57229676e-09, -2.07794085e-02, 2.43694670e-02, 2.94739634e-01, -2.94240147e-01, 1.71517897e-02, 2.33218202e-11, 2.43818350e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.11909114e-10, 5.89469910e-01, -2.33218202e-11, 4.57229676e-09, -5.89469910e-01, -5.54509461e-05, 1.11909114e-10, 8.65733102e-02, -8.65723491e-02, 5.89469910e-01, 5.89469910e-01, 1.85025877e-17, 2.94233412e-01, 2.40319059e-05, 2.94233412e-01, 0.00000000e+00, 0.00000000e+00, -2.94233412e-01, 2.94233412e-01, 2.94233412e-01, 2.43132736e-10, 4.57103688e-09, -2.94233412e-01, 6.51406071e-06, null, null, null, null, null, null, 7.79209614e-01, 4.27744180e-01, 4.99999942e-03
9, 7.07968056e-01, 5.72698712e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200012e+02, 10, 1.28959858e+00, 3.60957909e+00, 1.00833106e+00, null, null, null, null, null, null, null, null, null, 9.08472900e+01, 8.92167740e+01, -2.17340736e+01, 4.88247663e-01, null, null, 6.30060094e-04, 5.11052161e-02, 2.04589106e-02, 2.77911305e-01, 1.97211914e-02, 2.77210683e-01, 2.26503905e-09, 2.04583853e-02, 4.68313582e-02, 3.16846162e-01, -3.16248626e-01, -1.94498859e-02, 4.56098448e-09, 4.68472056e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.27620831e-11, 5.93459308e-01, -4.56098448e-09, 2.26503905e-09, -5.93459308e-01, 2.71305442e-04, 1.27620831e-11, 8.72839168e-02, -8.72763842e-02, 5.93459308e-01, 5.93459308e-01, 0.00000000e+00, 2.95438498e-01, 2.46285545e-05, 2.95438498e-01, 0.00000000e+00, 0.00000000e+00, -2.95438498e-01, 2.95438498e-01, 2.95438498e-01, -4.42869874e-09, 2.72903966e-09, -2.95438498e-01, 6.48341893e-06, null, null, null, null, null, null, 7.07968056e-01, 5.72698712e-01, 4.99999942e-03
