
[Name]
surface_body

[Data]
Node Number, X [ m ], Y [ m ], Z [ m ], Approximated Mass Flow [ kg s^-1 ], Connectivity Number, Density [ kg m^-3 ], Domain Node Number [  ], Eddy Viscosity [ Pa s ], Edge Length Ratio, Element Volume Ratio, Force [ N ], Force X [ N ], Force Y [ N ], Force Z [ N ], Heat Flux [ W m^-2 ], Interpolated Mass Flow [ kg s^-1 ], Length [ m ], Mass Flow [ kg s^-1 ], Mass Flux [ kg s^-1 m^-2 ], Maximum Face Angle [ degree ], Minimum Face Angle [ degree ], Pressure [ Pa ], Specific Dissipation Rate [ s^-1 ], Streamline Number on Streamline 1, Time on Streamline 1 [ s ], Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity u.Gradient [ s^-1 ], Velocity u.Gradient X [ s^-1 ], Velocity u.Gradient Y [ s^-1 ], Velocity u.Gradient Z [ s^-1 ], Velocity u_Scalar [ m s^-1 ], Velocity v [ m s^-1 ], Velocity v.Gradient [ s^-1 ], Velocity v.Gradient X [ s^-1 ], Velocity v.Gradient Y [ s^-1 ], Velocity v.Gradient Z [ s^-1 ], Velocity v_Scalar [ m s^-1 ], Velocity w [ m s^-1 ], Velocity w.Gradient [ s^-1 ], Velocity w.Gradient X [ s^-1 ], Velocity w.Gradient Y [ s^-1 ], Velocity w.Gradient Z [ s^-1 ], Velocity.Absolute Helicity [ m s^-2 ], Velocity.Curl [ s^-1 ], Velocity.Curl X [ s^-1 ], Velocity.Curl Y [ s^-1 ], Velocity.Curl Z [ s^-1 ], Velocity.Divergence [ s^-1 ], Velocity.Helicity [ m s^-2 ], Velocity.Invariant Q [ s^-2 ], Velocity.Lambda 2 [ s^-2 ], Velocity.Normal Eigen Helicity [ s^-1 ], Velocity.Real Eigen Helicity [ s^-1 ], Velocity.Real Eigenvalue [ s^-1 ], Velocity.Stretched Swirling Strength, Velocity.Swirling Discriminant [ s^-6 ], Velocity.Swirling Normal [ s^-1 ], Velocity.Swirling Normal X [ s^-1 ], Velocity.Swirling Normal Y [ s^-1 ], Velocity.Swirling Normal Z [ s^-1 ], Velocity.Swirling Strength [ s^-1 ], Velocity.Swirling Vector [ s^-1 ], Velocity.Swirling Vector X [ s^-1 ], Velocity.Swirling Vector Y [ s^-1 ], Velocity.Swirling Vector Z [ s^-1 ], Volume [ m^3 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ], Wall Yplus, Wall Ystar, X [ m ], Y [ m ], Z [ m ]
0, 8.51582348e-01, 4.99354273e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200012e+02, 1, 3.97760725e+00, 3.63192534e+00, 1.00746739e+00, null, null, null, null, null, null, null, null, null, 9.04208527e+01, 8.94172134e+01, -1.77249191e+02, 1.02033293e+00, null, null, 4.06580418e-03, 9.59651079e-03, -5.28864795e-04, 8.02252233e-01, -1.08076343e-02, 8.02179396e-01, 0.00000000e+00, -5.35690691e-04, 9.58192721e-03, 8.05555105e-01, -8.05418313e-01, 1.48428679e-02, -9.08154441e-09, 9.62855108e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.80290894e-12, 1.60759771e+00, 9.08154441e-09, 0.00000000e+00, -1.60759771e+00, 4.03523352e-03, -4.80290894e-12, 6.45929575e-01, -6.45869255e-01, 1.60759771e+00, 1.60759771e+00, 1.84314369e-17, 8.03694904e-01, 9.98134259e-03, 8.03694904e-01, 0.00000000e+00, 0.00000000e+00, -8.03694904e-01, 8.03694904e-01, 8.03694904e-01, 9.06436259e-09, 1.22122701e-10, -8.03694904e-01, 6.55091662e-06, null, null, null, null, null, null, 8.51582348e-01, 4.99354273e-01, 4.99999942e-03
1, 8.52561474e-01, 5.71986139e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200012e+02, 2, 3.89059639e+00, 3.63192225e+00, 1.01089573e+00, null, null, null, null, null, null, null, null, null, 9.03513870e+01, 8.96182556e+01, -1.75598663e+02, 1.06800318e+00, null, null, 4.16173879e-03, 5.89956082e-02, 5.81568517e-02, 8.23391080e-01, -1.46966251e-02, 8.23259890e-01, -1.81286524e-08, 5.81996292e-02, 9.91274323e-03, 7.87163436e-01, -7.87027597e-01, 1.46247698e-02, -9.12120335e-09, 9.95057914e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.50755758e-10, 1.61028743e+00, 9.12120335e-09, -1.81286524e-08, -1.61028743e+00, -7.18552619e-05, 3.50755758e-10, 6.47713304e-01, -6.47711635e-01, 1.61028743e+00, 1.61028743e+00, 0.00000000e+00, 8.04806411e-01, 1.00643262e-02, 8.04806411e-01, 0.00000000e+00, 0.00000000e+00, -8.04806411e-01, 8.04806411e-01, 8.04806411e-01, 9.00091468e-09, -1.75616144e-08, -8.04806411e-01, 6.54583982e-06, null, null, null, null, null, null, 8.52561474e-01, 5.71986139e-01, 4.99999942e-03
2, 9.24116433e-01, 4.99114364e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200073e+02, 3, 3.92823768e+00, 3.62762594e+00, 1.01107395e+00, null, null, null, null, null, null, null, null, null, 9.06659012e+01, 8.93013077e+01, -1.76103043e+02, 1.05150878e+00, null, null, 4.13750438e-03, 4.94805276e-02, -1.68065005e-03, 7.80535996e-01, -1.23781608e-02, 7.80437827e-01, 1.81399695e-08, -1.63360499e-03, -4.94519770e-02, 8.30587327e-01, -8.30482900e-01, 1.31700682e-02, 0.00000000e+00, -4.94835749e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.97057373e-10, 1.61092067e+00, 0.00000000e+00, 1.81399695e-08, -1.61092067e+00, 7.91907310e-04, -8.97057373e-10, 6.47977233e-01, -6.47954702e-01, 1.61092067e+00, 1.61092067e+00, 3.70255042e-17, 8.04970264e-01, 1.00766318e-02, 8.04970264e-01, 0.00000000e+00, 0.00000000e+00, -8.04970264e-01, 8.04970264e-01, 8.04970264e-01, 2.96786845e-10, 1.87148910e-08, -8.04970264e-01, 6.54136147e-06, null, null, null, null, null, null, 9.24116433e-01, 4.99114364e-01, 4.99999942e-03
3, 8.51336122e-01, 4.26857829e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200012e+02, 4, 3.94742918e+00, 3.62484193e+00, 1.00832427e+00, null, null, null, null, null, null, null, null, null, 9.07050323e+01, 8.94904633e+01, -1.75511047e+02, 1.07525909e+00, null, null, 4.25154390e-03, 5.98849989e-02, -5.91845326e-02, 8.22459221e-01, -7.96282943e-03, 8.22420657e-01, -1.81351130e-08, -5.92191592e-02, 9.13258456e-03, 7.85986185e-01, -7.85950303e-01, 7.50765484e-03, 0.00000000e+00, 9.15751979e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.65620448e-10, 1.60837102e+00, 0.00000000e+00, -1.81351130e-08, -1.60837102e+00, -4.55174595e-04, -1.65620448e-10, 6.46321952e-01, -6.46312833e-01, 1.60837102e+00, 1.60837102e+00, -1.85127521e-17, 8.03941488e-01, 9.99960862e-03, 8.03941488e-01, 0.00000000e+00, 0.00000000e+00, -8.03941488e-01, 8.03941488e-01, 8.03941488e-01, -1.69355807e-10, -1.77292705e-08, -8.03941488e-01, 6.52867129e-06, null, null, null, null, null, null, 8.51336122e-01, 4.26857829e-01, 4.99999942e-03
4, 7.79620647e-01, 5.00127375e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200073e+02, 5, 3.91772842e+00, 3.61934805e+00, 1.00515139e+00, null, null, null, null, null, null, null, null, null, 9.01255569e+01, 8.97098160e+01, -1.75024246e+02, 1.09500933e+00, null, null, 4.29667300e-03, 6.81097060e-02, 9.68302600e-04, 7.87860870e-01, -1.36875156e-02, 7.87742019e-01, 0.00000000e+00, 9.55531548e-04, 6.81028217e-02, 8.22605848e-01, -8.22491705e-01, 1.37031535e-02, 9.08048126e-09, 6.80773854e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.79265324e-12, 1.61023378e+00, -9.08048126e-09, 0.00000000e+00, -1.61023378e+00, 1.56378374e-05, -8.79265324e-12, 6.47723675e-01, -6.47723377e-01, 1.61023378e+00, 1.61023378e+00, 0.00000000e+00, 8.04812849e-01, 1.00648114e-02, 8.04812849e-01, 0.00000000e+00, 0.00000000e+00, -8.04812849e-01, 8.04812849e-01, 8.04812849e-01, -8.88787621e-09, -1.54432453e-10, -8.04812849e-01, 6.53022244e-06, null, null, null, null, null, null, 7.79620647e-01, 5.00127375e-01, 4.99999942e-03
5, 7.80316353e-01, 5.72478712e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98199951e+02, 6, 3.82653832e+00, 3.63876200e+00, 1.01063120e+00, null, null, null, null, null, null, null, null, null, 9.01602783e+01, 8.97206955e+01, -1.73295609e+02, 1.14605212e+00, null, null, 4.39128233e-03, 8.91489461e-02, 5.84188700e-02, 8.08358908e-01, 2.03123186e-02, 8.08103681e-01, 9.05011710e-09, 5.84638156e-02, 6.73407093e-02, 8.04325223e-01, -8.04059267e-01, -2.06827335e-02, 9.12203735e-09, 6.73065186e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.65422170e-11, 1.61216295e+00, -9.12203735e-09, 9.05011710e-09, -1.61216295e+00, -3.70414928e-04, 7.65422170e-11, 6.49343133e-01, -6.49335444e-01, 1.61216295e+00, 1.61216295e+00, -3.69983991e-17, 8.05818260e-01, 1.01404907e-02, 8.05818260e-01, 0.00000000e+00, 0.00000000e+00, -8.05818260e-01, 8.05818260e-01, 8.05818260e-01, -9.38019440e-09, 9.26030008e-09, -8.05818260e-01, 6.53406323e-06, null, null, null, null, null, null, 7.80316353e-01, 5.72478712e-01, 4.99999942e-03
6, 9.24885452e-01, 5.71286976e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200073e+02, 7, 3.84868407e+00, 3.62246370e+00, 1.00314450e+00, null, null, null, null, null, null, null, null, null, 9.01857529e+01, 8.96610641e+01, -1.74385208e+02, 1.09748304e+00, null, null, 4.23018960e-03, 7.29794651e-02, 5.52185737e-02, 8.02132368e-01, -5.34805879e-02, 8.00347507e-01, -9.07269104e-09, 5.52300587e-02, -4.77169864e-02, 8.14194679e-01, -8.12472999e-01, 5.29202744e-02, -1.81885937e-08, -4.77261581e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.43726964e-09, 1.61282051e+00, 1.81885937e-08, -9.07269104e-09, -1.61282051e+00, -5.60313463e-04, 1.43726964e-09, 6.47430539e-01, -6.47400379e-01, 1.61282051e+00, 1.61282051e+00, 0.00000000e+00, 8.04630637e-01, 1.00511489e-02, 8.04630637e-01, 0.00000000e+00, 0.00000000e+00, -8.04630637e-01, 8.04630637e-01, 8.04630637e-01, 1.74950650e-08, -7.95219446e-09, -8.04630637e-01, 6.52299605e-06, null, null, null, null, null, null, 9.24885452e-01, 5.71286976e-01, 4.99999942e-03
7, 9.23669577e-01, 4.26563203e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200012e+02, 8, 3.89985085e+00, 3.62762880e+00, 1.00714576e+00, null, null, null, null, null, null, null, null, null, 9.05903931e+01, 8.93962784e+01, -1.74294479e+02, 1.10958576e+00, null, null, 4.33388725e-03, 7.60393068e-02, -5.86004667e-02, 8.00269723e-01, 3.05712186e-02, 7.99685597e-01, 2.71645018e-08, -5.86492196e-02, -4.84557748e-02, 8.10150802e-01, -8.09545934e-01, -3.13002951e-02, -1.82019946e-08, -4.84544411e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.38292230e-09, 1.60923147e+00, 1.82019946e-08, 2.71645018e-08, -1.60923147e+00, -7.29076564e-04, -2.38292230e-09, 6.46425307e-01, -6.46402240e-01, 1.60923147e+00, 1.60923147e+00, -3.69983991e-17, 8.04005742e-01, 1.00044049e-02, 8.04005742e-01, 0.00000000e+00, 0.00000000e+00, -8.04005742e-01, 8.04005742e-01, 8.04005742e-01, 1.70466610e-08, 2.66595759e-08, -8.04005742e-01, 6.53965935e-06, null, null, null, null, null, null, 9.23669577e-01, 4.26563203e-01, 4.99999942e-03
8, 7.79209614e-01, 4.27744180e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200073e+02, 9, 3.88828206e+00, 3.63222003e+00, 1.00544739e+00, null, null, null, null, null, null, null, null, null, 9.05255203e+01, 8.91786194e+01, -1.73232346e+02, 1.15195894e+00, null, null, 4.48555872e-03, 8.70687813e-02, -5.65951765e-02, 8.07471275e-01, -4.71535400e-02, 8.06093335e-01, 0.00000000e+00, -5.65870479e-02, 6.61661476e-02, 8.05018485e-01, -8.03645432e-01, 4.69974652e-02, 9.11653597e-09, 6.61999285e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.15951948e-10, 1.60973883e+00, -9.11653597e-09, 0.00000000e+00, -1.60973883e+00, -1.56074762e-04, 5.15951948e-10, 6.45597100e-01, -6.45589769e-01, 1.60973883e+00, 1.60973883e+00, -1.85059758e-17, 8.03490579e-01, 9.96600278e-03, 8.03490579e-01, 0.00000000e+00, 0.00000000e+00, -8.03490579e-01, 8.03490579e-01, 8.03490579e-01, -9.14606701e-09, -5.35011757e-10, -8.03490579e-01, 6.51406071e-06, null, null, null, null, null, null, 7.79209614e-01, 4.27744180e-01, 4.99999942e-03
9, 7.07968056e-01, 5.72698712e-01, 4.99999942e-03, null, 4.00000000e+00, 9.98200012e+02, 10, 3.64019799e+00, 3.60957909e+00, 1.00833106e+00, null, null, null, null, null, null, null, null, null, 9.08472900e+01, 8.92167740e+01, -1.67685699e+02, 1.35628951e+00, null, null, 4.94056148e-03, 1.39209643e-01, 5.59069291e-02, 7.58395314e-01, 5.53334728e-02, 7.56374002e-01, -9.06015618e-09, 5.59054203e-02, 1.27490163e-01, 8.66464972e-01, -8.64743590e-01, -5.45898825e-02, -9.13074594e-09, 1.27533510e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.44608866e-10, 1.62111759e+00, 9.13074594e-09, -9.06015618e-09, -1.62111759e+00, 7.43590295e-04, -6.44608866e-10, 6.51048899e-01, -6.50991261e-01, 1.62111759e+00, 1.62111759e+00, 1.84856470e-17, 8.06875944e-01, 1.02206143e-02, 8.06875944e-01, 0.00000000e+00, 0.00000000e+00, -8.06875944e-01, 8.06875944e-01, 8.06875944e-01, 9.17222831e-09, -1.03360946e-08, -8.06875944e-01, 6.48341893e-06, null, null, null, null, null, null, 7.07968056e-01, 5.72698712e-01, 4.99999942e-03
