
[Name]
moving_wall

[Data]
Node Number, X [ m ], Y [ m ], Z [ m ], Approximated Mass Flow [ kg s^-1 ], Area [ m^2 ], Connectivity Number, Density [ kg m^-3 ], Domain Node Number [  ], Eddy Viscosity [ Pa s ], Edge Length Ratio, Element Volume Ratio, Force [ N ], Force X [ N ], Force Y [ N ], Force Z [ N ], Heat Flux [ W m^-2 ], Interpolated Mass Flow [ kg s^-1 ], Length [ m ], Mass Flow [ kg s^-1 ], Mass Flux [ kg s^-1 m^-2 ], Maximum Face Angle [ degree ], Minimum Face Angle [ degree ], Normal, Normal X, Normal Y, Normal Z, Pressure [ Pa ], Specific Dissipation Rate [ s^-1 ], Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity u.Gradient [ s^-1 ], Velocity u.Gradient X [ s^-1 ], Velocity u.Gradient Y [ s^-1 ], Velocity u.Gradient Z [ s^-1 ], Velocity u_Scalar [ m s^-1 ], Velocity v [ m s^-1 ], Velocity v.Gradient [ s^-1 ], Velocity v.Gradient X [ s^-1 ], Velocity v.Gradient Y [ s^-1 ], Velocity v.Gradient Z [ s^-1 ], Velocity v_Scalar [ m s^-1 ], Velocity w [ m s^-1 ], Velocity w.Gradient [ s^-1 ], Velocity w.Gradient X [ s^-1 ], Velocity w.Gradient Y [ s^-1 ], Velocity w.Gradient Z [ s^-1 ], Velocity.Absolute Helicity [ m s^-2 ], Velocity.Curl [ s^-1 ], Velocity.Curl X [ s^-1 ], Velocity.Curl Y [ s^-1 ], Velocity.Curl Z [ s^-1 ], Velocity.Divergence [ s^-1 ], Velocity.Helicity [ m s^-2 ], Velocity.Invariant Q [ s^-2 ], Velocity.Lambda 2 [ s^-2 ], Velocity.Normal Eigen Helicity [ s^-1 ], Velocity.Real Eigen Helicity [ s^-1 ], Velocity.Real Eigenvalue [ s^-1 ], Velocity.Stretched Swirling Strength, Velocity.Swirling Discriminant [ s^-6 ], Velocity.Swirling Normal [ s^-1 ], Velocity.Swirling Normal X [ s^-1 ], Velocity.Swirling Normal Y [ s^-1 ], Velocity.Swirling Normal Z [ s^-1 ], Velocity.Swirling Strength [ s^-1 ], Velocity.Swirling Vector [ s^-1 ], Velocity.Swirling Vector X [ s^-1 ], Velocity.Swirling Vector Y [ s^-1 ], Velocity.Swirling Vector Z [ s^-1 ], Volume [ m^3 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ], Wall Yplus, Wall Ystar, X [ m ], Y [ m ], Z [ m ]
0, 1.28097749e+00, 1.00000000e+00, 4.99999942e-03, null, 1.78571034e-04, 2.00000000e+00, 9.98200012e+02, 786, 2.68947542e-01, 3.57705283e+00, 1.00031614e+00, 1.07404392e-03, -2.64934177e-04, 1.04085554e-03, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.02516708e+01, 8.97483368e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 5.82880402e+00, 3.32795868e+01, 4.48155543e-03, 1.00000000e+00, 1.00000000e+00, 8.93289089e+00, -5.52680433e-01, 8.91577721e+00, 3.64601576e-08, 1.00000000e+00, 0.00000000e+00, 9.85510111e-01, -5.99355400e-01, 7.82306433e-01, -1.82300788e-08, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.82300788e-08, 9.51513290e+00, 1.82300788e-08, 3.64601576e-08, -9.51513290e+00, 2.29626000e-01, 1.82300788e-08, 4.91135359e+00, -3.91793251e+00, 9.51513290e+00, 9.51513290e+00, 1.52655666e-16, 2.21318126e+00, 4.37595320e+00, 2.21318126e+00, 0.00000000e+00, 0.00000000e+00, -2.21318126e+00, 2.21318126e+00, 2.21318126e+00, 8.60957599e-08, 1.43875711e-08, -2.21318126e+00, 0.00000000e+00, 1.48363459e+00, -1.48363459e+00, 0.00000000e+00, 0.00000000e+00, 6.85475952e+02, 6.63346130e+02, 1.28097749e+00, 1.00000000e+00, 4.99999942e-03
1, 1.28097749e+00, 1.00000000e+00, -4.99999942e-03, null, 1.78571034e-04, 2.00000000e+00, 9.98200012e+02, 1627, 2.68947542e-01, 3.57705283e+00, 1.00031614e+00, 1.07404392e-03, -2.64934177e-04, 1.04085554e-03, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.02516708e+01, 8.97483368e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 5.82880402e+00, 3.32795868e+01, 4.48155543e-03, 1.00000000e+00, 1.00000000e+00, 8.93289089e+00, -5.52680433e-01, 8.91577721e+00, 3.64601576e-08, 1.00000000e+00, 0.00000000e+00, 9.85510111e-01, -5.99355400e-01, 7.82306433e-01, -1.82300788e-08, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.82300788e-08, 9.51513290e+00, 1.82300788e-08, 3.64601576e-08, -9.51513290e+00, 2.29626000e-01, 1.82300788e-08, 4.91135359e+00, -3.91793251e+00, 9.51513290e+00, 9.51513290e+00, 1.52655666e-16, 2.21318126e+00, 4.37595320e+00, 2.21318126e+00, 0.00000000e+00, 0.00000000e+00, -2.21318126e+00, 2.21318126e+00, 2.21318126e+00, 8.60957599e-08, 1.43875711e-08, -2.21318126e+00, 0.00000000e+00, 1.48363459e+00, -1.48363459e+00, 0.00000000e+00, 0.00000000e+00, 6.85475952e+02, 6.63346130e+02, 1.28097749e+00, 1.00000000e+00, -4.99999942e-03
2, 1.24526322e+00, 1.00000000e+00, -4.99999942e-03, null, 1.78571616e-04, 2.00000000e+00, 9.98200012e+02, 1582, 2.63357580e-01, 3.57431579e+00, 1.00078332e+00, 2.95432634e-04, -2.49204051e-04, -1.58675102e-04, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.04135208e+01, 8.95864792e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, -8.88579607e-01, 3.26178894e+01, 4.30035032e-03, 1.00000000e+00, 1.00000000e+00, 8.74854279e+00, -5.41614115e-01, 8.73176098e+00, 3.62442627e-08, 1.00000000e+00, 0.00000000e+00, 5.37087739e-01, -3.16957474e-01, 4.33591038e-01, -1.81221314e-08, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.81221314e-08, 9.04871845e+00, 1.81221314e-08, 3.62442627e-08, -9.04871845e+00, -1.08023077e-01, 1.81221314e-08, 2.53275800e+00, -2.06938505e+00, 9.04871845e+00, 9.04871845e+00, -7.63278329e-17, 1.59054732e+00, 6.01058483e-01, 1.59054732e+00, 0.00000000e+00, 0.00000000e+00, -1.59054732e+00, 1.59054732e+00, 1.59054732e+00, 1.09240986e-07, 1.33781342e-08, -1.59054732e+00, 0.00000000e+00, 1.39554119e+00, -1.39554119e+00, 0.00000000e+00, 0.00000000e+00, 6.64686646e+02, 6.49557129e+02, 1.24526322e+00, 1.00000000e+00, -4.99999942e-03
3, 1.24526322e+00, 1.00000000e+00, 4.99999942e-03, null, 1.78571616e-04, 2.00000000e+00, 9.98200012e+02, 741, 2.63357580e-01, 3.57431579e+00, 1.00078332e+00, 2.95432634e-04, -2.49204051e-04, -1.58675102e-04, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.04135208e+01, 8.95864792e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, -8.88579607e-01, 3.26178894e+01, 4.30035032e-03, 1.00000000e+00, 1.00000000e+00, 8.74854279e+00, -5.41614115e-01, 8.73176098e+00, 3.62442627e-08, 1.00000000e+00, 0.00000000e+00, 5.37087739e-01, -3.16957474e-01, 4.33591038e-01, -1.81221314e-08, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.81221314e-08, 9.04871845e+00, 1.81221314e-08, 3.62442627e-08, -9.04871845e+00, -1.08023077e-01, 1.81221314e-08, 2.53275800e+00, -2.06938505e+00, 9.04871845e+00, 9.04871845e+00, -7.63278329e-17, 1.59054732e+00, 6.01058483e-01, 1.59054732e+00, 0.00000000e+00, 0.00000000e+00, -1.59054732e+00, 1.59054732e+00, 1.59054732e+00, 1.09240986e-07, 1.33781342e-08, -1.59054732e+00, 0.00000000e+00, 1.39554119e+00, -1.39554119e+00, 0.00000000e+00, 0.00000000e+00, 6.64686646e+02, 6.49557129e+02, 1.24526322e+00, 1.00000000e+00, 4.99999942e-03
4, 1.20954895e+00, 1.00000000e+00, 4.99999942e-03, null, 1.78570728e-04, 2.00000000e+00, 9.98200012e+02, 787, 2.60468185e-01, 3.57160759e+00, 1.00024402e+00, 1.04791543e-03, -2.42878028e-04, -1.01938075e-03, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.05756302e+01, 8.94243698e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, -5.70855474e+00, 3.23285980e+01, 4.21534060e-03, 1.00000000e+00, 1.00000000e+00, 8.58916664e+00, -2.79730231e-01, 8.58461094e+00, -3.29026079e-07, 1.00000000e+00, 0.00000000e+00, 2.84797192e-01, -1.40582964e-01, 2.47680977e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.72519398e+00, 0.00000000e+00, -3.29026079e-07, -8.72519398e+00, -3.20492536e-02, 0.00000000e+00, 1.13756621e+00, -1.00147653e+00, 8.72519398e+00, 8.72519398e+00, 7.45931095e-17, 1.06644714e+00, 5.45089990e-02, 1.06644714e+00, 0.00000000e+00, 0.00000000e+00, -1.06644714e+00, 1.06644714e+00, 1.06644714e+00, -7.63986421e-08, -4.33636345e-08, -1.06644714e+00, 0.00000000e+00, 1.36012232e+00, -1.36012232e+00, 0.00000000e+00, 0.00000000e+00, 6.55557922e+02, 6.42523499e+02, 1.20954895e+00, 1.00000000e+00, 4.99999942e-03
5, 1.20954895e+00, 1.00000000e+00, -4.99999942e-03, null, 1.78570728e-04, 2.00000000e+00, 9.98200012e+02, 1628, 2.60468185e-01, 3.57160759e+00, 1.00024402e+00, 1.04791543e-03, -2.42878028e-04, -1.01938075e-03, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.05756302e+01, 8.94243698e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, -5.70855474e+00, 3.23285980e+01, 4.21534060e-03, 1.00000000e+00, 1.00000000e+00, 8.58916664e+00, -2.79730231e-01, 8.58461094e+00, -3.29026079e-07, 1.00000000e+00, 0.00000000e+00, 2.84797192e-01, -1.40582964e-01, 2.47680977e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.72519398e+00, 0.00000000e+00, -3.29026079e-07, -8.72519398e+00, -3.20492536e-02, 0.00000000e+00, 1.13756621e+00, -1.00147653e+00, 8.72519398e+00, 8.72519398e+00, 7.45931095e-17, 1.06644714e+00, 5.45089990e-02, 1.06644714e+00, 0.00000000e+00, 0.00000000e+00, -1.06644714e+00, 1.06644714e+00, 1.06644714e+00, -7.63986421e-08, -4.33636345e-08, -1.06644714e+00, 0.00000000e+00, 1.36012232e+00, -1.36012232e+00, 0.00000000e+00, 0.00000000e+00, 6.55557922e+02, 6.42523499e+02, 1.20954895e+00, 1.00000000e+00, -4.99999942e-03
6, 1.17383468e+00, 1.00000000e+00, -4.99999942e-03, null, 1.78571921e-04, 2.00000000e+00, 9.98200012e+02, 1581, 2.58341849e-01, 3.57142735e+00, 1.00252128e+00, 1.57887407e-03, -2.38566310e-04, -1.56074646e-03, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.05770798e+01, 8.94229202e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, -8.74015617e+00, 3.21865387e+01, 4.16251831e-03, 1.00000000e+00, 1.00000000e+00, 8.48085594e+00, -1.91135645e-01, 8.47870159e+00, -3.25568578e-07, 1.00000000e+00, 0.00000000e+00, 1.73060164e-01, -6.83446378e-02, 1.58993170e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.54704666e+00, 0.00000000e+00, -3.25568578e-07, -8.54704666e+00, -3.21424752e-02, 0.00000000e+00, 5.49084544e-01, -4.13286030e-01, 8.54704666e+00, 8.54704666e+00, 0.00000000e+00, 7.40828097e-01, 6.12843409e-03, 7.40828097e-01, 0.00000000e+00, 0.00000000e+00, -7.40828097e-01, 7.40828097e-01, 7.40828097e-01, -6.98391887e-08, -3.00210026e-08, -7.40828097e-01, 0.00000000e+00, 1.33596766e+00, -1.33596766e+00, 0.00000000e+00, 0.00000000e+00, 6.48520386e+02, 6.37330078e+02, 1.17383468e+00, 1.00000000e+00, -4.99999942e-03
7, 1.17383468e+00, 1.00000000e+00, 4.99999942e-03, null, 1.78571921e-04, 2.00000000e+00, 9.98200012e+02, 740, 2.58341849e-01, 3.57142735e+00, 1.00252128e+00, 1.57887407e-03, -2.38566310e-04, -1.56074646e-03, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.05770798e+01, 8.94229202e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, -8.74015617e+00, 3.21865387e+01, 4.16251831e-03, 1.00000000e+00, 1.00000000e+00, 8.48085594e+00, -1.91135645e-01, 8.47870159e+00, -3.25568578e-07, 1.00000000e+00, 0.00000000e+00, 1.73060164e-01, -6.83446378e-02, 1.58993170e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.54704666e+00, 0.00000000e+00, -3.25568578e-07, -8.54704666e+00, -3.21424752e-02, 0.00000000e+00, 5.49084544e-01, -4.13286030e-01, 8.54704666e+00, 8.54704666e+00, 0.00000000e+00, 7.40828097e-01, 6.12843409e-03, 7.40828097e-01, 0.00000000e+00, 0.00000000e+00, -7.40828097e-01, 7.40828097e-01, 7.40828097e-01, -6.98391887e-08, -3.00210026e-08, -7.40828097e-01, 0.00000000e+00, 1.33596766e+00, -1.33596766e+00, 0.00000000e+00, 0.00000000e+00, 6.48520386e+02, 6.37330078e+02, 1.17383468e+00, 1.00000000e+00, 4.99999942e-03
8, 1.31669176e+00, 1.00000000e+00, 4.99999942e-03, null, 1.78571921e-04, 2.00000000e+00, 9.98200012e+02, 742, 2.49905989e-01, 3.57423139e+00, 1.00078177e+00, 2.87456601e-03, -2.56712199e-04, 2.86308024e-03, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.01259308e+01, 8.98740692e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.60332050e+01, 3.13684349e+01, 4.01575724e-03, 1.00000000e+00, 1.00000000e+00, 8.61313438e+00, -1.08385146e+00, 8.54466820e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.10842204e+00, -2.86717802e-01, 1.07069719e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.83138561e+00, 0.00000000e+00, 0.00000000e+00, -8.83138561e+00, -1.31542683e-02, 0.00000000e+00, 1.28943181e+00, -1.23321342e+00, 8.83138561e+00, 8.83138561e+00, -1.11022302e-16, 1.13551247e+00, 7.93993175e-02, 1.13551247e+00, 0.00000000e+00, 0.00000000e+00, -1.13551247e+00, 1.13551247e+00, 1.13551247e+00, 0.00000000e+00, 0.00000000e+00, -1.13551247e+00, 0.00000000e+00, 1.43758440e+00, -1.43758440e+00, 0.00000000e+00, 0.00000000e+00, 6.74175049e+02, 6.27604797e+02, 1.31669176e+00, 1.00000000e+00, 4.99999942e-03
9, 1.31669176e+00, 1.00000000e+00, -4.99999942e-03, null, 1.78571921e-04, 2.00000000e+00, 9.98200012e+02, 1583, 2.49905989e-01, 3.57423139e+00, 1.00078177e+00, 2.87456601e-03, -2.56712199e-04, 2.86308024e-03, 0.00000000e+00, null, null, 0.00000000e+00, null, 0.00000000e+00, 9.01259308e+01, 8.98740692e+01, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.60332050e+01, 3.13684349e+01, 4.01575724e-03, 1.00000000e+00, 1.00000000e+00, 8.61313438e+00, -1.08385146e+00, 8.54466820e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.10842204e+00, -2.86717802e-01, 1.07069719e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.83138561e+00, 0.00000000e+00, 0.00000000e+00, -8.83138561e+00, -1.31542683e-02, 0.00000000e+00, 1.28943181e+00, -1.23321342e+00, 8.83138561e+00, 8.83138561e+00, -1.11022302e-16, 1.13551247e+00, 7.93993175e-02, 1.13551247e+00, 0.00000000e+00, 0.00000000e+00, -1.13551247e+00, 1.13551247e+00, 1.13551247e+00, 0.00000000e+00, 0.00000000e+00, -1.13551247e+00, 0.00000000e+00, 1.43758440e+00, -1.43758440e+00, 0.00000000e+00, 0.00000000e+00, 6.74175049e+02, 6.27604797e+02, 1.31669176e+00, 1.00000000e+00, -4.99999942e-03
